Julie Andrews
Vanessa Angel
Gabrielle Anwar
Richard Armitage 
Gemma Arterton
Christian Bale
Mischa Barton
Mathew Baynton
Tom Baker
Ben Barnes 
Sean Bean
Kate Beckinsale
Richard Beckinsale
Eliza Bennett
Rosalind Bennett
Martin Benson 
Steven Berkoff
Brian Blessed
Emily Blunt
Orlando Bloom
Richard Briers
Kelly Brook
Kathy Burke
Saffron Burrows
Sebastian Cabot 
Michael Caine
Kim Cattrall
Helena Bonham Carter
Sacha Baron Cohen
Joan Collins
Daniel Craig
Michael Crawford
Mackenzie Crook
Benedict Cumberbatch
Tom Hiddleston
Tim Curry
Anthony Dawson
Daniel Day-Lewis
Roger Delgado
Judi Dench
Sarah Douglas
Minnie Driver
Christopher Eccleston
Tamsin Egerton
Idris Elba
Jennifer Ellison
Jennifer Ehle
Alice Eve
Rupert Everett
Craig Fairbrass
Tom Felton
Ralph Fiennes
Colin Firth
Dexter Fletcher
Jamie Foreman
George Formby
Claire Forlani
Anna Friel
Emilia Fox
James Frain
Martin Freeman
Sadie Frost
Michael Gambon
Romola Garai
Patricia Garwood
John Gielgud
Stephen Graham 
Sienna Guillory
Cary Grant
Hugh Grant
Leslie Grantham
Sydney Greenstreet
John Gregson
Rupert Grint
Alec Guinness
Brian Hall 
Rebecca Hall
Ricci Harnett
Frank Harper
Jack Hawkins
Will Hay
Georgie Henley
Audrey Hepburn
Wendy Hiller
Stanley Holloway
Bob Hoskins
Nicholas Hoult
Leslie Howard 
Annie Hulley
Elizabeth Hurley
John Hurt
Jeremy Irons
Theo James
David Jason
Aaron Johnson 
Boris Karloff
Toby Kebbell
William Kempe
Skandar Keynes
Ben Kingsley
Keira Knightley
Charles Laughton
Stan Laurel
Hugh Laurie
Jude Law
Vivien Leigh
Jane Leeves
Joanna Lumley
Margaret Lockwood
Roy Marsden
Anna Massey
Martine McCutcheon
Ian McKellen
Wentworth Miller
Sienna Miller
Hayley Mills
John Mills
Helen Mirren
Georgia Moffett
Dominic Monaghan
Roger Moore
Joseph Morgan 
Samantha Morton
Nick Moran
Kenneth More
William Moseley 
Billy Murray 
Carey Mulligan
Sophia Myles
Parminder Nagra
Anthony Newley
Bill Nighy
David Niven
Merle Oberon
Sophie Okonedo
Gary Oldman
Laurence Olivier
Clive Owen
Cecil Parker
Dev Patel
Robert Pattinson
Simon Pegg
Alex Pettyfer
Rosamund Pike
Billie Piper
Anna Popplewell
Dominic Purcell
Daniel Radcliffe
Oliver Reed
Joely Richardson
Miranda Richardson
Natasha Richardson
Ralph Richardson
Alan Rickman
Tim Roth
Margaret Rutherford
George Sanders
Peter Sellers
Jane Seymour
Robert Shaw 
Nicollette Sheridan
Maggie Smith
Matt Smith 
Terence Stamp
Patrick Stewart
Rachel Stevens
Tilda Swinton
Elizabeth Taylor
Juno Temple
Emma Thompson
Kristin Scott Thomas
Patrick Troughton
Peter Ustinov
Julie Walters
Jack Warner 
Naomi Watts
