Keith Allen 
Aneurin Barnard
Stanley Baker
David Bower
Rob Brydon
Richard Burton
Timothy Dalton
Josie d'Arby
Gareth David-Lloyd
Phoebe Davies
Richard Davies 
Ryan Davies
Windsor Davies
Sophie Dee
Robert East 
Aimee-Ffion Edwards
Maudie Edwards
Peg Entwistle
Clifford Evans
Luke Evans 
Pam Ferris
Huw Garmon
Colin George
Hugh Griffith
Kenneth Griffith
Ioan Gruffudd
Edmund Gwenn
Mike Gwilym
Robert Gwilym
Lyn Harding
Doris Hare
Georgia Henshaw
Donald Houston
Glyn Houston
Anthony Hopkins
Aneirin Hughes
Gareth Hughes
Nerys Hughes
Isabel Ice
Rhys Ifans
Emrys James
Gary Jones 
Margaret John
Glynis Johns
Mervyn Johns
Ruth Jones
Eddie Ladd
Desmond Llewelyn
Bernard Lloyd
Philip Madoc
Ruth Madoc
Steven Meo
Ray Milland
Eve Myles
Kimberley Nixon
Kai Owen
Joanna Page
Siân Phillips
Tom Price 
Jonathan Pryce
Ian Puleston-Davies
Angharad Rees
Roger Rees
Iwan Rheon
Steffan Rhodri
Ieuan Rhys
Matthew Rhys
John Rhys-Davies
Ieuan Rhys Williams
Rachel Roberts 
Matt Ryan 
Michael Sheen
Sarah Siddons
Steve Speirs
Victor Spinetti
Gareth Thomas 
Talfryn Thomas
William Thomas 
Tim Vincent
Melanie Walters
Naunton Wayne
Andy Whitfield
Emlyn Williams
Peter Wingfield
Owain Yeoman
Catherine Zeta-Jones
Jonathan Adams 
William Edwards 
Alwyn Sheppard Fidler
John St. Bodfan Gruffydd
Inigo Jones
John Jones 
Owen Jones 
Ernest Morgan
John Nash 
Malcolm Parry
John Prichard
Gwynne Pugh
Percy Thomas
Clough Williams-Ellis
Iwan Bala
Glenys Cour
Ivor Davies 
Thomas Nathaniel Davies
Ken Elias
Nicholas Evans 
Barry Flanagan
Laura Ford
David Garner 
John Gibson 
Tony Goble
Nina Hamnett
Clive Hicks-Jenkins
Robert Alwyn Hughes
Alfred Janes
Augustus John
Goscombe John
Gwen John
David Jones 
Martyn Jones 
Thomas Jones 
Heinz Koppel
Mervyn Levy
Geoffrey Olsen
Osi Rhys Osmond
Michael Gustavius Payne
Shani Rhys James
Ceri Richards
Will Roberts
John Uzzell Edwards
Andrew Vicari
Bedwyr Williams
Kyffin Williams
Richard Wilson 
Nathan Wyburn
Ernest Zobole
Laura Ashley
Jeff Banks
Martin Wilding Davies
David Emanuel 
Timothy Everest
Julien Macdonald
Tommy Nutter
Jayne Pierson
Mary Quant
Richard Amerike
James Gomer Berry
William Berry
Joe Blackman
David Davies 
Griffith J. Griffith
John Josiah Guest
John Hughes 
William Lewis
Terry Matthews
Michael Moritz
Charles Stewart Rolls
Howard Stringer
David Sullivan 
David Alfred Thomas
Perce Blackborow
John Evans 
George Everest
Henry Morton Stanley
Kevin Allen 
John Bryan Evans
Marc Evans
Peter Greenaway
Craig Handley
Richard Marquand
Julian Richards 
Sara Sugarman
Max Boyce
Tommy Cooper
Lee Dainton
Ryan Davies
Rhod Gilbert
Ruth Jones
Terry Jones
Gladys Morgan
Tessie O'Shea
Matthew Pritchard
Griff Rhys Jones
Harry Secombe
Paul Whitehouse
Ronnie Williams
William Davies Evans
William Frost
William Robert Grove
John Jones 
Adam Powell 
William Henry Preece
Edwin Stevens
Thomas Williams of Llanidan
Walter Clopton Wingfield
James Gomer Berry
Mario Basini
William Berry
Jeremy Bowen
Derek Brockway
Toby Charles
Hugh Cudlipp
Josie d'Arby
Russell Davies
Huw Edwards 
Sara Edwards
Dewi Griffiths
Guto Harri
John Humphrys
Ciaran Jenkins
Grace Coddington
Gareth Jones 
Gareth Jones 
Gethin Jones
Steve Jones 
Martyn Lewis 
Siân Lloyd 
Johnny Morris
Jamie Owen
Allison Pearson
Keidrych Rhys
Wynford Vaughan-Thomas
Huw Wheldon
Sian Williams
Iolo Williams
Karl Jones
Morys Bruce
Dafydd Gam
Malcolm Douglas-Pennant
Hugh Evan-Thomas
Hedd Wyn
William Charles Fuller
T. E. Lawrence
Hubert William Lewis
John Wallace Linton
Owain Lawgoch
Sir Thomas Picton
Simon Weston
John Williams 
Roger Williams 
Tasker Watkins
Cadwallon ap Cadfan
Cunedda
Dafydd ap Gruffudd
Edward II of England
Gruffudd ap Cynan
Gwenllian of Wales
Gwenllian ferch Gruffydd
Henry V of England
Henry VII of England
Hywel Dda
Idwal Iwrch ap Cadwaladr
Llywelyn the Great
Llywelyn ap Gruffudd
Madog ap Gruffydd Maelor
Maelgwn Gwynedd
Owain Glyndŵr
Owain Gwynedd
Rhodri Mawr
The Lord Rhys
Trahaearn ap Caradog
Ivor Atkins
High Contrast
Shirley Bassey
Waldini
James Dean Bradfield
Delme Bryn-Jones
Stuart Burrows
Stuart Cable
John Cale
Charlotte Church
Steffan Cravos
Chris Dale
Henry Walford Davies
Spencer Davis
Marina Diamandis
Duffy 
Geoff Eales
Steve Eaves
Dave Edmunds
Geraint Evans
Wynne Evans
Andy Fairweather-Low
Catrin Finch
Roger Glover
Larry Goves
Jem 
Pete Ham
Alun Hoddinott
Mary Hopkin
Owain Arwel Hughes
David Russell Hulme
Robert ap Huw
Dafydd Iwan
Karl Jenkins
Katherine Jenkins
Aled Jones
Daniel Jones 
Della Jones
Gwyneth Jones 
Kelly Jones
Tom Jones 
Gwynn Parry Jones
Martyn Joseph
Peter Karrie
Jon Lee 
Donna Lewis
Lustmord
William Mathias
Cerys Matthews
Elaine Morgan 
Grant Nicholas
Ivor Novello
Tessie O'Shea
Donald Peers
Mal Pope
Margaret Price
Gruff Rhys
Tim Rishton
Alexander Coe
Gwenno Saunders
James Sauvage
Andy Scott-Lee
Lisa Scott-Lee
Harry Secombe
David Spencer
Henry Spinetti
Dorothy Squires
Alison Statton
Meic Stevens
Shakin' Stevens
Steve Strange
Robert Tear
Bryn Terfel
Thighpaulsandra
John Thomas 
Mansel Thomas
Bonnie Tyler
Ian Watkins 
Ian Watkins 
Grace Williams
Terry Williams 
Nicky Wire
David Wynne 
The Alarm
Amen Corner 
Yr Anhrefn
Anweledig
Attack! Attack!
The Automatic
Badfinger
Y Bandana
Bob Delyn a'r Ebillion
Big Leaves
The Blackout 
Brigyn
Budgie 
Bullet for my Valentine
Calan 
Catatonia 
Colorama 
The Crocketts
Crys
Y Cyrff
Datblygu
Demented Are Go
Derwyddon Dr Gonzo
Dub War
Ether 
Feeder
Foreign Legion 
Funeral for a Friend
Ffa Coffi Pawb
Y Ffyrc
Gene Loves Jezebel
Genod Droog
Goldie Looking Chain
Gorky's Zygotic Mynci
Iwcs a Doyle
Kids in Glass Houses
Lostprophets
Llwybr Llaethog
Man 
Manic Street Preachers
Mclusky
Y Niwl
Paper Aeroplanes
The Poppies 
Sibrydion
Skindred
Super Furry Animals
Stereophonics
Tystion
Gwendoline Davies
Margaret Davies
Albert Gubay
Augusta Hall
Edmund Meyrick
Hugh Owen 
Robert Owen
Thomas Phillips 
Eliezer Pugh
Edwin Stevens
Maria Jane Williams
John Wynne 
Elihu Yale
Richard Ithamar Aaron
Martin Wilding Davies
Martyn Evans 
David James Jones
Henry Jones 
John Robert Jones
Hywel Lewis
John Lewis 
Gwilym Ellis Lane Owen
Dewi Zephaniah Phillips
Griffith Powell
John Cowper Powys
H. H. Price
Richard Price
Mark Rowlands
Bertrand Russell
David Oswald Thomas
Thomas Vaughan 
David Williams 
Rheinallt Nantlais Williams
William Abraham 
Leo Abse
Leighton Andrews
Ifor Bach
Kenneth Baker
Lorraine Barrett
John Batchelor 'The Friend of Freedom'
Aneurin Bevan
Henry Bruce
Molly Scott Cato
Julian Cayo-Evans
Christine Chapman
Alun Davies 
Andrew Davies 
David Davies
Jocelyn Davies
S.O. Davies
Dafydd Elis-Thomas
Gwynfor Evans
Nerys Evans
Chris Franks
John Frost 
Julia Gillard
Janice Gregory
Samuel Griffith
Jim Griffiths
John Griffiths 
Lesley Griffiths
Benjamin Hall
Edwina Hart
Michael Heseltine
