Lauren Ambrose
Tony Amendola
Brad Anderson 
John Ashton 
William Atherton
Valerie Azlynn
Kevin Bacon
Roger Bart
David Alan Basche
Ryan Michelle Bathe
Anne Baxter
Graham Beckel
Ed Begley
Richard Belzer
Polly Bergen
John Billingsley
Michael Ian Black
Linda Blair
Roberts Blossom
Ernest Borgnine
Kate Bosworth
Jesse Bradford
Jonathan Brandis
Alex Breckenridge
Amy Brenneman
Brooke Brodack
Chris Bruno
Dylan Bruno
Gary Burghoff
Brooke Burke
John Byrum
Mary Cadorette
Mike Cahill 
David Canary
Art Carney
D. J. Caruso
Adriana Caselotti
Marilyn Chambers
Joe Cipriano
Spencer Treat Clark
Glenn Close
Martha Coolidge
Daniel Cosgrove
D.J. Cotrona
Bob Crane
Jane Curtin
Paul Dano
Jules Dassin
Bette Davis
Jeff Davis 
Brian Dennehy
George DiCenzo
Allie DiMeco
Troy Duffy
Charles H. Eglee
Jill Eikenberry
Abby Elliott
Linda Evans
Mark Famiglietti
Michael J. Fox
Kevin Foxe
Will Friedle
Paul Fusco
Catherine Gardner
Marcus Giamatti
Paul Giamatti
Cynthia Gibb
William Gillette
Grant Goodeve
Topher Grace
David Marshall Grant
Luke Greenfield
Shelley Hack
June Havoc
Sterling Hayden
Glenne Headly
Jessica Hecht
Kevin Heffernan 
Katherine Heigl
Lillian Hellman
Katharine Hepburn
Linda Hunt
Allison Janney
Arline Judge
Adam Kaufman 
Elia Kazan
Lisa Robin Kelly
Ted Knight
David LaChapelle
Lisa Lampanelli
Hope Lange
Eriq La Salle
Matt Lauer
Adam LaVorgna
Norman Lear
David Letterman
Barry Levinson
Mark Linn-Baker
Christopher Lloyd
Michelle Lombardo
Justin Long
Billy Lush
Seth MacFarlane
Frederic March
Pamela Sue Martin
Dylan McDermott
Biff McGuire
Stephanie McMahon
Jesse Metcalfe
Steve Miner
Robert Mitchum
Gretchen Mol
Marilyn Monroe
Jonathan Mostow
Michael G. Moye
George Murphy
Marty Munsch
Ellen Muth
David Naughton 
James Naughton
Kevin Navayne
Kevin Nealon
Paul Newman
Becki Newton
Fred Norris
Ron Palillo
Joe Pantoliano
Dean Parisot
Paul Perri
Bijou Phillips
Jacob Pitts
Tracy Pollan
Anthony Tyler Quinn
John Ratzenberger
Evan Rogers
Christy Carlson Romano
Sherrie Rose
Matt Ross
Rosalind Russell
Meg Ryan
Peter Sarsgaard
Michael Schur
Annabella Sciorra
Kyra Sedgwick
Chloë Sevigny
Louise Shaffer
Spec Shea
Micah Sloat
Patricia Smith 
Bill Smitrovich
Zack Snyder
Raymond St. Jacques
David H. Steinberg
Tara Subkoff
Ed Sullivan
Larry Sullivan
Pawel Szajda
Lee Tergesen
Mark Tinker
Tony Todd
Jim True-Frost
Tom Tryon
Raviv Ullman
James Van Der Beek
Gus Van Sant
Diane Venora
Jenna von Oÿ
Wende Wagner
Christopher Walken
Deborah Walley
Sam Waterston
Michael Weatherly
Bruce Weitz
Titus Welliver
Michael Jai White
Treat Williams
Fay Wolf
Joanne Woodward
Kari Wührer
Madeline Zima
Tonja Walker
Brad Ausmus
John Bagley 
Jeff Bagwell
Vin Baker
Semyon Belits-Geiman
James Blake 
Steve Blass
Andy Bloom 
Nick Bonino
Craig Breslow
Scott Burrell
Marcus Camby
Walter Camp
Dave Campo
Howard Cann
Jesse Carlson
Chris Clark 
Carmen Cozza
Jaidon Codrington
Roger Connor
Rajai Davis
Chad Dawson
Brian Dayett
Walt Dropo
Chris Drury
Vladimir Ducasse
Johnny Egan
Dwight Freeney
Kevin Gilbride
Ryan Gomes
Ron Hainsey
Dorothy Hamill
Matt Harvey 
Anttaj Hawthorne
JJ Henry
Aaron Hernandez
Bruce Jenner
Jay Johnstone
Tebucky Jones
Triple H
Joan Joyce
Terrance Knighton
Paul Konerko
Niko Koutouvides
Brian Leetch
Ivan Lendl
Kristine Lilly
Floyd Little
Rebecca Lobo
Joey Logano
Cliff Louis
Rick Mahorn
Wes Matthews
Dick McAuliffe
John McDonald 
Charlie Morton 
Calvin Murphy
Johnny Moore 
Jerry Nadeau
Charles Nagy
Nick Newell
Lamar Odom
Dan Orlovsky
Jim O'Rourke 
Max Pacioretty
Paul Pasqualoni
Carl Pavano
Willie Pep
Jimmy Piersall
Nick Pietrosante
Jonathan Quick
Randy Rasmussen
David Reed 
Jamey Richard
Andy Robustelli
Bill Rodgers 
Bill Romanowski
Bob Schaefer
Dan Shannon
Scott Sharp
Jim Shea
Jeff Simmons 
Charles Smith 
Chris Smith 
Tony Sparano
Amari Spievey
George Springer
Ken Strong
John Sullivan 
Tim Teufel
Tom Thibodeau
Donald Thomas 
Marcus Tracy
Mike Tyson
Bobby Valentine
Stephen Valiquette
Mo Vaughn
Jordan Williams
Ron Wotus
Steve Young 
Josh Zeid
Christopher Andersen
Jacob M. Appel
Edward C. Banfield
Joel Barlow
Dan Beard
A. Scott Berg
Joseph Payne Brennan
William F. Buckley
Candace Bushnell
Guido Calabresi
Al Capp
Noah Charney
Echo Chernik
Lincoln Child
Christopher Collier 
Suzanne Collins
Clay Dreslough
John Gregory Dunne
Eleanor Estes
Howard Fast
Edward Miner Gallaudet
Elizabeth Gilbert
Charlotte Perkins Gilman
Daniel Coit Gilman
Thyrza Nichols Goodeve
Hanna Holborn Gray
Anna Huntington
Chauncey Ives
Klaus Janson
Deane Keller
John Frederick Kensett
Charles H. Kraft
Larry Kramer
Madeleine L'Engle
Wally Lamb
Annie Leibovitz
Robert Ludlum
Ira Levin
Sol LeWitt
Jay McInerney
Eric Metaxas
Stephenie Meyer
Arthur Miller
Emily Cheney Neville
Flannery O'Connor
John Pekkanen
Derek Pell
Jacques Pepin
Kenneth Pike
Charles Ethan Porter
E. Annie Proulx
Luanne Rice
Bill Roorbach
Philip Roth
Vincent Scully
George Selden 
Maurice Sendak
Dorothy Hope Smith
Armstrong Sperry
Edward Steichen
Wallace Stevens
Harriet Beecher Stowe
Benjamin Spock
Mark Shasha
Arthur Szyk
Alton Tobey
Mark Twain
Edward Lewis Wallant
Noah Webster
J. Alden Weir
George Akerlof
Moses Austin
Edward C. Banfield
Phineas Taylor Barnum
John Bello
Henry Alfred Bishop
Cornelius Scranton Bushnell
David Bushnell
Vint Cerf
Jared Cohen
Samuel Colt
Ray Dalio
Bern Dibner
Robert Epstein
John Fitch 
Josiah Willard Gibbs
Alfred G. Gilman
Charles Goodyear
James J. Greco
Robert N. Hall
Louis Harris
Allan Hobson
Collis Potter Huntington
Jeffrey R. Immelt
Alfred Winslow Jones
Mary Dixon Kies
Stephen Cole Kleene
Edwin H. Land
Henry Lee 
Albert L. Lehninger
Allen Cleveland Lewis
Alvin Liberman
Saunders Mac Lane
John C. Malone
John Martin 
Barbara McClintock
Sean McManus 
Daniel J. Mitchell
Samuel Augustus Mitchell
Samuel Morey
J. P. Morgan
Roy Neuberger
Victor Niederhoffer
Frederick Law Olmsted
Eliphalet Remington
Ken Olsen
Joseph Earl Sheffield
Igor Sikorsky
Benjamin Silliman
Alfred P. Sloan
Christopher Spencer
Roger Wolcott Sperry
Frank J. Sprague
John William Sterling
Martha Stewart
Eli Terry
Seth Thomas 
John Hasbrouck Van Vleck
Warren L. Wheaton
Nathaniel Wheeler
Dana White
Gustave Whitehead
Eli Whitney
Oliver Fisher Winchester
Arthur Williams Wright
Robert Charles Wright
Steve Wynn 
Joseph Alsop
Stewart Alsop
Chris Berman
Rita Cosby
Ann Coulter
Ross Douthat
Charles Dow
Frank Fixaris
Brendan Gill
Linda Greenhouse
Burton J. Hendrick
Don Imus
Laura Ingraham
Lawrence Kudlow
Denis Leary
Kenny Mayne
Dick Morris
Dan Patrick
Lonnie Quinn
Joan Rivers
Andy Rooney
David Sirota
James Surowiecki
Ida Tarbell
Liz Trotta
Ethan Allen
Benedict Arnold
Daniel Bissell 
John Brown 
Daniel C. Burbank
John Butler 
Tedford H. Cann
Benjamin Delahauf Foulois
Walter S. Gorka
Nathan Hale
David Hawley
Isaac Hull
David Humphreys 
Raymond Jacobs
Everett F. Larson
Ezra Lee
John Levitow
Henry A. Mucci
Robert J. Papp
Samuel Holden Parsons
Israel Putnam
Gold Selleck Silliman
Robert Stethem
John Trumbull
James Wadsworth 
Philip C. Wehle
Irving Wiltsie
David Wooster
50 Cent
Marian Anderson
Apathy 
Timothy Archambault
Veronica Ballestrini
Mark Berman
Leonard Bernstein
Kath Bloom
Michael Bolton
Dave Brubeck
Igor Buketoff
Gary Burr
Karen Carpenter
Richard Carpenter 
Cassie 
Chris Carrabba
Javier Colon
Rivers Cuomo
Julia DeMato
Dirt E. Dutch
José Feliciano
Chris Frantz
Daryl Hall
Hatebreed
Jascha Heifetz
Grayson Hugh
Charles Ives
Bernard Jackson 
Ben Kopec
Meat Loaf
John Mayer 
Brad Mehldau
Mark McGrath
Syesha Mercado
Moby
Thurston Moore
Liz Phair
Gene Pitney
Keith Richards
Dawn Robinson
Nile Rodgers
Diana Ross
Emily Saliers
John Scofield
Horace Silver
Ronnie Spector
Steve Stevens
Seth Swirsky
Mary Travers
Cassie Ventura
Robert Wendel
Tina Weymouth
Wendy Wright
Brian Yale
Dean Acheson
Abraham Baldwin
Roger Sherman Baldwin
Ebenezer Bassett
Donald Berwick
Cofer Black
George H. W. Bush
George W. Bush
Prescott Bush
Orlow W. Chapman
Anthony Comstock
Joe Courtney 
Silas Deane
Robert De Forest
Rosa DeLauro
Christopher Dodd
Oliver Ellsworth
Anna Eshoo
John Fabrizi
Gary Franks
Porter J. Goss
Ella T. Grasso
Galusha A. Grow
Lyman Hall
Titus Hosmer
Samuel Huntington 
Robert A. Hurley
William Samuel Johnson
Henry Kissinger
John Larson
Joe Lieberman
Clare Boothe Luce
Dannel Malloy
Robert Moses
Ralph Nader
Frederick Walker Pitkin
Adam Clayton Powell
Abraham A. Ribicoff
Pete Rouse
John G. Rowland
Christopher Shays
Roger Sherman
Samuel Simons
Joseph Spencer
Kathleen Kennedy Townsend
Jonathan Trumbull
Jonathan Trumbull
Lyman Trumbull
Donald Verrilli Jr.
Morrison Waite
Mark Warner
Gideon Welles
William Williams 
Oliver Wolcott
Oliver Wolcott Jr.
Ebenezer Baldwin
Henry Ward Beecher
Lyman Beecher
Aaron Burr
Blackleach Burritt
Horace Bushnell
Neal Chase
Henry Sloane Coffin
Jonathan Edwards 
Charles Grandison Finney
Michael J. McGivney
Kenneth Pike
Henry Weston Smith
Ed and Lorraine Warren
Wilford Woodruff
John Zaffis
Erin Brady
Helen Keller
Category:People from Connecticut
Category:Use mdy dates from October 2013
Category:World Digital Library related
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
