Brian Adams 
Benny Agbayani
SHAG 
Daniel Akaka
Akebono Tarō
Robert Allerton
Chang Apana
S. Haunani Apoliona
George Ariyoshi
Buck Baker
Robert Ballard
Kimee Balmilero
Gabe Baltazar
Danny Barcelona
Roseanne Barr
Sasha Barrese
Donn Beach
Larry Beil
Barbi Benton
Greg Beeman
Henri Berger
Daniel Bess
Ashley Bickerton
Hiram Bingham I
Hiram Bingham II
Hiram Bingham III
Bernice Pauahi Bishop
Charles Reed Bishop
Bill Bixby
Don Blanding
Richard Blood
Daryl Bonilla
Richard Boone
Robert Sidney Bowen
Beau Bridges
Darin Brooks
Jason Brooks 
Ron Brown
Bulldog 
Andy Bumatai
Ray Bumatai
John A. Burns
Eric Byler
Redmond Burke
William Robert Caddy
Daryl Cagle
Sarah Wayne Callies
James Campbell 
Joseph Campbell
Glenn Cannon
George Ham Cannon
Tia Carrere
Alexander Cartwright
Josh Casaubon
Steve Case
Benjamin J. Cayetano
Cedric Ceballos
Byron Chamberlain
Michael Chamberlain
Richard Chamberlain
Wah Chang
Ben Chapman 
Duane Chapman
Charo
Tom Cheney 
Brian Ching
Elliott Cho
Kam Fong Chun
Herbert Choy
Sam Choy
Bryan Clay
Archibald Cleghorn
Harlan Cleveland
Titus Coan
Ed Cobb
Scott Coffey
Francis Judd Cooke
Captain James Cook
Mother Marianne Cope
David Copperfield 
Matt Corboy
Nancy Cordes
Ed Corney
John P. Craven PhD
Buster Crabbe
Victoria Kaiulani
Richard E. Cunha
Mark Dacascos
Anthony Peter Damato
Father Damien
Ron Darling
Gavan Daws
Frank Delima
Richard Denning
Martin Denny
Benjamin Dillingham
Walter F. Dillingham
Jordan Dizon
Jimmie Dodd
James Dole
Sanford B. Dole
Richard Donner
David Douglas
Doris Duke
Yvonne Elliman
Kate Elliott
Georgia Engel
Jean Erdman
Neil Everett
Kenny Endo
Nuu Faaola
Mary Elizabeth Pruett Farrington
Scott Feldman
Sid Fernandez
Tony Fiammetta
Hiram Leong Fong
Leo Ford
Patricia Ford
Russ Francis
Herman Frazier
Harry Fujiwara
David Gallaher
Brickwood Galuteria
Loyal Garner
Brian Gaskill
Thomas Gill 
Henry G. Ginaca
Gary Goldman
Ah Chew Goo
Lauren Graham
Wendy Lee Gramm
Glen Grant 
Erin Gray
Dave Guard
Brian Haberlin
Marie Louise Habets
Bethany Hamilton
Laird Hamilton
Lance Hahn
Kayo Hatta
Hilo Hattie
Dick Haymes
Michael Haynes III
Erik Hazelhoff Roelfzema
Christian Hedemann
Cecil Heftel
Geoff Heise
George Helm
Marie Helvin
George Herbig
Harvey Hess
John Hillerman
Barron Hilton
