Joseph Albertson
Cecil D. Andrus
James Jesus Angleton
Don Aslett
Terrel Bell
Lauren Beckham
Ezra Taft Benson
Ronee Blakley
William Edgar Borah
Gutzon Borglum
Pappy Boyington
Carol Ryrie Brink
Edgar Rice Burroughs
Shay Carl
Kerry Christensen
Frank Church
Forrester Church
Boyd Coddington
Georgia Coleman
Larry Craig
Genevieve Cortese
Chris Crutcher
Dan Cummins
Ken Dayley
Gloria Dickson
Lillian Disney
Lou Dobbs
Fred Dubois
Shirley Englehorn
Bill Fagerbakke
Philo Farnsworth
A.J. Feeley
W. Mark Felt
Stephen Fife
Bernard Francis Fisher
Vardis Fisher
John Friesz
Jeremy Gable
Jordan Gross
Philip Habib
Gregg Hale 
Korey Hall
Mary Hallock Foote
Gene Harris
Ernest Hemingway
Margaux Hemingway
Christina Hendricks
Jared and Jerusha Hess
Michael Hoffman 
Merril Hoge
Howard W. Hunter
Chris Horn
Sherry Jackson
Johnny James
Bobby Jenks
Phil Johnson 
Chief Joseph
Harold Kelley
George Kennedy
Dirk Kempthorne
Harmon Killebrew
Dirk Koetter
Gus Kohntopp
Jerry Kramer
Paul Kruger 
Vance Law
Vernon Law
Mark Lindsay
Matt Lindstrom
Larry Lujack
Doug Martsch
Bonnie McCarroll
Richard McKenna
Patrick F. McManus
Rob Morris 
Randy Mueller
Dave Mustaine
Jack O'Connor 
Sarah Palin
Aaron Paul
Cody Pickett
Jay Pickett
Jake Plummer
Ezra Pound
Bridget Powers
V. Lane Rawlins
Paul Revere & the Raiders
Marjorie Reynolds
Luke Ridnour
Doug Riesenberg
Josh Ritter
Marilynne Robinson
Ron Romanick
Scott Rozell
Sacajawea
Jake Scott 
Richard G. Scott
Jill Seaman
Brandi Sherwood
J. R. Simplot
Nikki Sixx
Robert E. Smylie
Rosalie Sorrels
Henry Spalding
Curtis Stigers
Frank Steunenberg
Gary L. Stevens
Broken Sword
Picabo Street
Chaske Spencer
Renee Tenison
Rosie Tenison
Ted Trueblood
Lana Turner
Walter Varney
Wayne Walker
Mel Wasserman
Rumer Willis
Edwin P. Wilson
Larry Wilson 
Torrie Wilson
Jefferson Wood
Robert S. Wood
Victor Wooten
Norma Zimmer
Category:People from Idaho
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
