Emma Abbott
Jessica Abel
Tony Accardo
Valdas Adamkus
Flozell Adams
Franklin Pierce Adams
Jane Adams
Jane Addams
George Ade
Paul Adelstein
Dankmar Adler
Max Adler 
Scott Adsit
John Agar
Alex Agase
Milton Ager
Benjamin Agosto
Mark Aguirre
Abraham Adrian Albert
Eddie Albert
Frankie Albert
Steve Albini
Ted Albrecht
Jody Alderson
Nelson Algren
Saul Alinsky
Joan Allen
Karen Allen
Rex Allen
Ronnie Allen 
Tony Allen 
Justin Allgaier
Samuel King Allison
Arthur Allyn
John Allyn
Mike Alstott
Michael J. Alter
John Peter Altgeld
Scott Altman
Gene Ammons
Morey Amsterdam
Andree Anderson
Craig Anderson 
Gillian Anderson
J. J. Anderson
Ken Anderson 
Laurie Anderson
Nick Anderson
Philip Warren Anderson
Sherwood Anderson
Ethel Percy Andrus
Elmer Angsman
Beulah Annan
Moses Annenberg
Frank Annunzio
Luis Aparicio
Luke Appling
Ann-Margret
Lee Archambault
Leslie C. Arends
Philip Danforth Armour
Terron Armstead
Matthew John Armstrong
Otis Armstrong
Lewis Arquette
Patricia Arquette
Diandra Asbaty
John Ashcroft
Mary Astor
James T. Aubrey
Jean M. Auel
Jason Avant
Sewell Avery
John Avildsen
David Axelrod
Brendon Ayanbadejo
Edward E. Ayer
Bill Ayers
Reiko Aylesworth
Irving Azoff
Richard Bach
Henry Bacon
Chantal Bailey
Barbara Bain
Harold Baines
David J. Baker
Edward Dickinson Baker
Jehu Baker
A. J. Balaban
Barney Balaban
Bob Balaban
H.C. Baldridge
Adam Baldwin
George Wildman Ball
Carl Ballantine
Ernie Banks
Kelcie Banks
Jerry Barber
Paris Barclay
John Bardeen
Jesse Barfield
Al Barlick
Brandon Barnes
Brenda C. Barnes
Robert Barnett 
Tony Barone
Bea Barrett
Barbara Barrie
John Barrowman
Dick Bartell
Peter Bartlett 
Burt Baskin
Kenny Battle
Hank Bauer
Sybil Bauer
Tom Baugh
Rick Bayless
Jennifer Beals
Harry P. Beam
Melissa Bean
Warren A. Bechtel
John Beck 
Marilyn Beck
Kurt Becker
Arnold Orville Beckman
Don Beebe
June Beebe
Edward Beecher
Bob Bell 
Darryl M. Bell
Edward Price Bell
Josh Bell 
Lee Phillip Bell
Ralph Bellamy
Saul Bellow
Louis Bellson
James Belushi
John Belushi
Bob Bender
Vincent Hugo Bendix
Jack Benny
Jodi Benson
Tom Berenger
Edgar Bergen
Emily Bergl
Dave Bergman
Nate Berkus
Shelley Berman
Joseph Bernardin
Edward Allen Bernero
Ken Berry
Dick Bertell
Jay Berwanger
Gary Bettenhausen
Tony Bettenhausen
John Lourie Beveridge
Patrick Beverley
Bill Bidwill
Charles Bidwill
Judy Biggert
Michael Anthony Bilandic
William Henry Bissell
Black Hawk 
Edwin Black
Jordan Black 
Karen Black
Quincy Black
Harry Blackmun
