Squire Boone
Jonathan Jennings
Dennis Pennington
Spier Spencer
Jeremy Michael Boorda
Ambrose Burnside
George Rogers Clark
Jonathan D. George
William Grose
Jonas Ingram
John Poindexter
David M. Shoup
Walter Bedell Smith
Raymond Ames Spruance
Lew Wallace
Samuel Woodfill
Anthony Wayne
Frank J. Anderson
Birch Bayh
Evan Bayh
Albert J. Beveridge
Otis R. Bowen
Roger D. Branigin
Jesse D. Bright
George Washington Buckner
Earl Butz
Maria Cantwell
Homer E. Capehart
James R. Clapper
Benjamin Victor Cohen
Schuyler Colfax
John Wesley Davis
Eugene V. Debs
William Hayden English
Charles W. Fairbanks
John W. Foster
Walter Q. Gresham
Charles A. Halleck
Lee H. Hamilton
Clifford Hardin
Benjamin Harrison
William Henry Harrison
Richard Hatcher
John Hay
Will H. Hays
Thomas A. Hendricks
Louis McHenry Howe
Jonathan Jennings
Elisabeth Jensen
Cleve Jones
Michael C. Kerr
Ron Klain
Abraham Lincoln
Richard Lugar
Thomas R. Marshall
Mack F. Mattingly
Edward Ralph May
Hugh McCulloch
William H.H. Miller
Sherman Minton
Oliver P. Morton
Harry S. New
Mike Pence
Dennis Pennington
Bart Peterson
John Poindexter
John Wesley Posey
Dan Quayle
John Rarick
John G. Roberts
William Ruckelshaus
Caleb Blood Smith
William L. Springer
Ted Stevens
John Palmer Usher
Willis Van Devanter
Mark Warner
Gary Webb
Ryan White
Claude R. Wickard
Wendell Willkie
Pacanne
Leopold Pokagon
Simon Pokagon
Little Turtle
Metea
Young Tobacco
Tecumseh
Lillian Albertson
Leon Ames 
David Anspaugh
Arija Bareikis
Rhonda Bates
Anne Baxter
Billie Bennett
Abraham Benrubi
James Best
Monte Blue
Beulah Bondi
John Bowers 
Avery Brooks
Ezra Buzzington
David Canary
Ann Christy
Embeth Davidtz
James Dean
Heather Douglas 
Louise Dresser
Irene Dunne
Chad Everett
Louise Fazenda
Jenna Fischer
Ken Foree
Vivica A. Fox
Brendan Fraser
Dolores Fuller
Maude Turner Gordon
Sid Grauman
Phil Harris
Heather Headley
Ann Hovey
Doug Jones 
Greg Kinnear
Anita King
Elmo Lincoln
Sarah Litzsinger
Jake Lloyd
Carole Lombard
Shelley Long
Marjorie Main
Karl Malden
Strother Martin
Randy McDowell
John McMartin
Steve McQueen
Michael Michele
Keith Alan Morris
Ryan Murphy 
Dean Norris
Tommy O'Haver
Betsy Palmer
Angelo Pizzo
Sydney Pollack
Victor Potel
James Rebhorn
Michael Rosenbaum
Robert Rusler
George Seaton
Jake Short
Liz Stauber
Valeska Suratt
Max Terhune
Alice Terry
Twyla Tharp
Forrest Tucker
William Walker 
Clifton Webb
Dreya Weber
Isiah Whitlock
Fred Williamson
Robert Wise
Jo Anne Worley
Mike Epps
Michael Essany
Jim Gaffigan
David Letterman
Buddy Lewis 
Dan Nainan
Herb Shriner
Red Skelton
Brad Stine
Adam Lambert
Amanda Overmyer
Amanda Perez
Andy Timmons
Axl Rose
Bill Gaither 
Bobby Helms
Buddy Montgomery
Cal Collins
Claude Thornhill
Cole Porter
Connie Smith
Crystal Gayle
Danny Gaither
David Baker 
David Lee Roth
Dax Riggs
Deniece Williams
Denny Jiosa
Dexter Romweber
DJ Ashba
Eddie Condon
Freddie Hubbard
Gary Burton
Gloria Gaither
Henry Lee Summer
Hoagy Carmichael
Izzy Stradlin
Jane Jarvis
Janet Jackson
Janie Fricke
Jeff Hamilton 
Jeremy Spencer 
Jeremy Camp
Jermaine Jackson
JJ Johnson
John Hiatt
John Mellencamp
John Von Ohlen
Jon McLaughlin
Jon Schaffer
Josh Kaufman
Joshua Bell
Ken Navarro
"Kenneth ""Babyface"" Edmonds"
Krystal Harris
Kyle Cook
Kym Mazelle
Larry Ridley
La Toya Jackson
Leroy Carr
Leroy Vinnegar
Lisa Germano
Luke Menard
Michael Jackson
Mick Mars
Melvin Rhyne
Monk Montgomery
Ned Rorem
Noble Sissle
Paul Dresser
Randy Carr
Randy Jackson 
Rich Mullins
Royce Campbell
Ryan McCombs
Scrapper Blackwell
Shannon Hoon
Slide Hampton
Steve Allee
Steve Wariner
Tito Jackson
Wes Montgomery
Rick Ross
Asteria
The Ataris
Days of the New
Doppelganger
The Elms 
Emanuel 
Faith Band
The Four Freshmen
Haste The Day
Hoosier Hot Shots
The Jackson 5
Margot and the Nuclear So and So's
Mock Orange 
Murder by Death
The Ready Set
The Reverend Peyton's Big Damn Band
Straight No Chaser 
Umphrey's McGee
Virgin Millionaires
The Why Store
Wright Brothers Band
Nicole Anderson
Arija Bareikis
Julia Barr
James Best
Kate Bolduan
Kyle Bornheimer
John Bromfield
Avery Brooks
Dan Butler
Jose Pablo Cantillo
Terri Conn
Nancy Criss
Mary Jane Croft
Scatman Crothers
Joyce DeWitt
Polly Draper
Mike Emrick
Chad Everett
Bianca Ferguson
Jenna Fischer
Bill Frink
Dolores Fuller
Will Geer
Ron Glass
Florence Henderson
Drake Hogestyn
Jamie Hyneman
Bob Jenkins
Chubby Johnson
Anissa Jones
Lisa Kennedy Montgomery
Adam Kennedy 
Ken Kercheval
Brook Kerr
Michael King 
Durward Kirby
Steve Kroft
David Letterman
Shelley Long
Karl Malden
Claire Malis
Patrick McVey
Julie McWhirter
Tammy Lynn Michaels
Dylan Minnette
Anthony Montgomery
Alvy Moore
Jane Pauley
Nancy Priddy
Madelyn Pugh
Sarah Purcell
Michael Rosenbaum
Carly Schroeder
Tavis Smiley
David Shuster
Casey Stegall
Marc Summers
Trista Sutter
Zuzanna Szadkowski
Frazier Thomas
Vincent Ventresca
Chuck Vinson
Kristina Wagner
Michael Warren 
Fred Williamson
Jama Williamson
Dick York
AJ Alexander
Bridget Bobel
Pamela Bryant
Kaitlyn Christopher
June Cochran
Jami Ferrell
Danelle Folta
Hanna Hilton
Heather Kuzmich
Stephanie Larimore
Brittany Mason
Karen McDougal
Nicole Rash
Roman and Gabriel Slaybaugh
Jami Stallings
Katie Stam
Heather Stohler
Marjorie Wallace
Clint Barmes
Larry Bigbie
Tim Bogar
Chris Bootcheck
Phil Bradley
Mordecai Brown
Eric Bruntlett
Donie Bush
Max Carey
Jamey Carroll
Oscar Charleston
Lou Criger
George Crowe
Nig Cuppy
Chad Curtis
Carl Erskine
Jake Fox
Bob Friend
Jot Goar
Aaron Heilman
Billy Herman
Gil Hodges
Tommy Hunter 
Tommy John
Jeff King 
Chuck Klein
Don Larsen
Adam Lind
Kenny Lofton
Lance Lynn
Justin Masterson
Don Mattingly
Lloyd McClendon
Anna Meyer
Dan Plesac
Ron Reed
Jason Repko
Sam Rice
Clayton Richard
Scott Rolen
Edd Roush
Janet Rumsey
Jeff Samardzija
Everett Scott
Tim Stoddard
Eric Stults
Walt Terrell
Sam Thompson
Dickie Thon
Tom Underwood
Pat Underwood
Cory Wade
Eric Wedge
Cy Williams
Rollie Zeider
Steve Alford
Damon Bailey
Alison Bales
Jacqueline Batteast
Larry Bird
Ron Bonham
Junior Bridgeman
Rodney Carney
Calbert Cheaney
Mike Conley
Skylar Diggins
Terry Dischinger
Katie Douglas
Bill Garrett 
Katie Gearlds
Eric Gordon
Luke Harangody
Gordon Hayward
Alan Henderson
George Hill 
Jared Jeffries
JaJuan Johnson
Shawn Kemp
Courtney Lee
Sean May
Walter McCarty
George McGinnis
Josh McRoberts
John Mengelt
Brad Miller 
E'Twaun Moore
Rick Mount
Stretch Murphy
Greg Oden
Zach Randolph
Jimmy Rayl
Ron Reed
Oscar Robertson
Glenn Robinson
Scott Skiles
Tim Stoddard
Chuck Taylor 
Jeff Teague 
Pete Trgovich
Bonzi Wells
Stephanie White
John Wooden
Mike Woodson
Cody Zeller
Luke Zeller
Tyler Zeller
Shanna Zolman
Del Harris
Tony Hinkle
Ralph Jones
Ward Lambert
Arad McCutchan
Gregg Popovich
Scott Skiles
Brad Stevens
John Wooden
William Afflis
Blaine Bishop
James Brewer 
Mark Clayton 
Roosevelt Colvin
Irv Cross
Jay Cutler 
Len Dawson
Mike DeBord
Kris Dielman
Ken Dilger
Chris Doleman
Tandon Doss
Vaughn Dunbar
Trai Essex
Jason Fabini
Justin Gage
Jeff George
Bob Griese
Rex Grossman
Nick Hardwick 
Corey Harris 
Mark Herrmann
Alex Karras
Dustin Keller
Ryan Kerrigan
Mathias Kiwanuka
Brad Maynard
Le'Ron McClain
Rick Mirer
Brandon Moore 
Devin Moore 
Mike Neal
Elmer Oliphant
Mike Phipps
Jason Pociask
Bernard Pollard
Courtney Roby
Anthony Spencer
John Standeford
Dan Stryzinski
Jeremy Trueblood
Steve Weatherford
Eugene Wilson 
Rod Woodson
Todd Yoder
Joe Zeller
Cam Cameron
Jack Chevigny
Clem Crowe
Weeb Ewbank
Abe Gibron
Hank Stram
John Andretti
Ed Carpenter 
Conor Daly
Derek Daly
Bob Glidden
Jeff Gordon
Tracy Hines
Kenny Irwin
Mel Kenyon
Steve Kinser
Ryan Newman
Tony Raines
Tony Stewart
David Stremme
Howdy Wilcox
William Afflis
Danny Basham
Stephan Bonnar
Robert Bowles
Jon Fitch
Mick Foley
Terry Funk
Sharmell Sullivan-Huffman
Glenn Keeney
Chris Lytle
Craig Pumphrey
Miguel Torres 
Bill Wallace 
Warrior 
Eddie Wineland
Drake Younger
Tony Zale
Mike Aulby
Rich Balchan
Lloy Ball
Damarcus Beasley
Greg Bell 
Donald Brashear
Lauren Cheney
Euphrasia Donnelly
Ray Ewry
Charlie Finley
Ford Frick
Ray Gaddis
Tony Hulman
Don Lash
Dan Patch
Aron Ralston
Sandra Spuzich
Marshall Taylor
Mike Troy
Sharon Wichman
Fuzzy Zoeller
Madam C.J. Walker
Bill Blass
Steve Bellamy
Charles G. Conn
Steve Ells
Michael L. Eskew
Carl G. Fisher
Richard Jordan Gatling
Mark C. Honeywell
Edward Mead Johnson
Colonel Sanders
Jared Fogle
Halston
Norman Norell
Aaron Patzer
Orville Redenbacher
Francis Joseph Reitz
Alvah Curtis Roebuck
John Schnatter
Fred Zollner
Enoch Albert Bryan
Ray Ginger
George P. Smith II
Herman B Wells
George Ade
J. Ottis Adams
Radley Balko
Charles A. Beard
Albert J. Beveridge
Allan Bloom
Norman Bridwell
Clarence Joseph Bulliet
Meg Cabot
Jared Carter
William Merritt Chase
Will Cuppy
Jim Davis 
Lloyd C. Douglas
Theodore Dreiser
Marilyn Durham
Mike Emrick
William Forsyth 
Ford Frick
Bill Frink
David Goodnow
Art Green 
John Green 
Richard Gruelle
David Haugh
Christine Howser
Kin Hubbard
Robert Indiana
Ross Lockridge
Bubba the Love Sponge
John T. McCutcheon
Jason Matheson
Dale Messick
Bruce Nauman
Meredith Nicholson
Bill Peet
Jon Petrovich
Edith Pfau
David Graham Phillips
Ernie Pyle
Frank Reynolds
E. A. Richardson
James Whitcomb Riley
William Edouard Scott
Zerna Sharp
Will Shortz
David Smith 
Amy Spindler
Otto Stark
T. C. Steele
Gene Stratton Porter
Booth Tarkington
James Alexander Thom
Gilbert R. Tredway
Kurt Vonnegut
Lew Wallace
Jason Whitlock
J.N. Williamson
Marguerite Young
Gordon Allport
Philip Warren Anderson
Herbert C. Brown
Larry M. Davis
James Bert Garner
Elwood Haynes
C. Francis Jenkins
Colonel Eli Lilly
Salvador E. Luria
Andrew J. Moyer
E. J. Pennington
Edward Mills Purcell
Ben Roy Mottelson
Hermann Joseph Muller
Paul A. Samuelson
Julian Schwinger
Vernon L. Smith
Lewis Terman
Harold Urey
James D. Watson
Joseph P. Allen
Lawrence Dale Bell
Frank Borman
Kenneth Bowersox
Mark N. Brown
Amelia Earhart
Anthony W. England
Gus Grissom
Jerry L. Ross
Charles D. Walker
David Wolf 
Wilbur Wright
Michael Alig
Lowell Amos
Sam Bass 
Herb Baumeister
Curly Bill Brocius
John Dillinger
Belle Gunness
Jimmy Hoffa
Jim Jones
Tony Kiritsis
Sylvia Likens
Madge Oberholtzer
Harry Pierpont
Reno Gang
Johnny Ringo
Shanda Sharer
D.C. Stephenson
Eric Justin Toth
Homer Van Meter
Category:People from Indiana
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
