Milton S. Eisenhower
Wendell Johnson
Jack S. Kilby
Solon Toothaker Kimball
Stanford Lehmberg
Deane Waldo Malott
Abby Lillian Marlatt
Eric K. Meyer
M. Lee Pelton
John Brooks Slaughter
Vernon L. Smith
Earl Wilbur Sutherland Jr.
Donald Worster
Nina E. Allender
Grace Bilger
Grant Bond
Blackbear Bosin
Gwendolyn Elizabeth Brooks
Bruce Conner
John Steuart Curry
Aaron Douglas
Randall Duell
Edgar Heap of Birds
Evan Lindquist
Barbara Morgan 
Gordon Parks
Birger Sandzen
Gary Mark Smith
W. Eugene Smith
Mort Walker
Laura Abbot
Gwendolyn Brooks
William Burroughs
Don Coldsmith
Mary Francis Shura
Dorothy Canfield Fisher
Kansas City
Thomas Frank
Jane Heap
Scott Heim
Langston Hughes
William Inge
Bill James
Bill Martin
Fred Myton
Kathy Patrick
Scott Phillips 
Vance Randolph
Russell Reeder
Richard Rhodes
Lois Ruby
Damon Runyon
William Stafford 
Max Yoho
Clark Tippet
Karrin Allyson
XV 
Dawayne Bailey
Chris Burnett
Karla Burns
Danny Carey
Richard Christy
Dorothy DeLay
Phil Ehart
Melissa Etheridge
Rory Lee Feek
Wendell Hall
Moondog
Nora Holt
Dave Hope
Eva Jessye
Jennifer Knapp
Katrina Leskanich
Kerry Livgren
Frank Luther
Martina McBride
Andy McKee
Janelle Monáe
Jerrod Niemann
Charlie Parker
Samuel Ramey
Joe Don Rooney
Mark Schultz 
Steven Stucky
Jeremy Turner
Joe Walsh
Bobby Watson
David Wetzel
Chely Wright
Gordon Young 
Herbert Acevedo
John H. Adams
David Arkin 
Elden Auker
Chase Austin
Thane Baker
Tony Barker
Chris Barnes 
James Bausch
Judy Bell
B.H. Born
Clint Bowyer
George Brett 
Bryce Brown
Orville Brown
Mildred Burke
Enos Cabell
Veronica Campbell-Brown
Antoine Carr
Larry Cheney
Jack Christiansen
Tony Clark
Nolan Cromwell
Aaron Crow
Glenn Cunningham 
Johnny Damon
Eldon Danenhauer
Wantha Davis
Joey Devine
Lynn Dickey
Andy Dirks
Larry Drew
Mark Duckens
Brian Duensing
Brody Eldridge
Tim Elliott
Maurice Evans 
Kyle Farnsworth
Galen Fiss
Scott Fulhage
Tyson Gay
Maurice Greene 
Don Gutteridge
Joe Hastings 
Mark Haynes
Bobby Henrich
Don Hill 
Shaun Hill
Lionel Hollins
Scott Huffman
Damian Johnson 
Walter Johnson
Fred Kipp
Tonya Knight
Laurie Koehn
Gene Krug
Franklin Lashley
Shalee Lehning
Martin Lewis 
Danny Manning
Rudy May
