Morris N. Abrams
Bryan Adams 
Jamar Adcock
Trace Adkins
Robert Adley 
Joe W. Aguillard
St. Joseph
John Alario
Kermit Alexander
Bret Allain
Calhoun Allen
Ray R. Allen
William Alston
Jacques Amans
Jody Amedee
Cliff Ammons
Andy Anders
Charles Anding
David Andrews 
Scott Angelle
Ernest Angelo
Robert Angers
Phil Anselmo
Conrad Appel
George Arceneaux
Louis Armstrong
Tommy Armstrong 
Jeff Arnold 
Daniel F. Ashford
Evelyn Ashford
Elizabeth Ashley
Nnamdi Asomugha
James Benjamin Aswell
Al Ater
Douglas F. Attaway
D. J. Augustin
Lonnie O. Aulds
Ray Authement
Axeman of New Orleans
Clarence C. Aycock
H. Welborn Ayres
Odon Bacqué
Fred Baden
Algernon Sidney Badger
Bobby Badon
Ben Bagert
Bryant W. Bailey
George Washington Baines
Diana Bajoie
John Henry Baker
Richard Baker 
Scott Baker 
George Ballas
Jesse Bankston
Larry S. Bankston
Allen Bares
"C. E. ""Cap"" Barham"
Charles C. Barham
Edwards Barham
Mack Barham
Robert J. Barham
Danny Barker
Taylor Barras
Greg Barro
Dave Bartholomew
"Robert E. ""Bob"" Barton"
Brandon Bass
Robert W. Bates
Carl W. Bauer
Ralph Norman Bauer
Ron Bean
Bryan Batt
Arnaz Battle
Jack Batton
Gary Beard
Hazel Beard
P.G.T. Beauregard
Lottie Beebe
Geoffrey Beene
Sidney Bechet
Demetrius Bell
V.J. Bella
E. J. Bellocq
Judah P. Benjamin
Kirt Bennett
Michael Bennett 
Sherman A. Bernard
Louis Berry
Johnny Berthelot
J. Rayburn Bertrand
B.G. 
Joseph A. Biedenharn
Rene J. Bienvenu
Bienville
Walter O. Bigby
Stuart Bishop
Evelyn Blackmon
Morton Blackwell
Cecil R. Blair
Newton C. Blanchard
Terrence Blanchard
Kathleen Blanco
Alexander Boarman
Walter Boasso
Jean Boese
Lindy Boggs
Buddy Bolden
Billy Boles
Skip Bolen
Bruce M. Bolin
James E. Bolin
C. J. Bolin
Donald G. Bollinger
Al Bolton
George Washington Bolton
James W. Bolton
James W. Bolton
Peggy Bolton
Robert H. Bolton
George W. Bond
James Booker
Billy Joe Booth
Calvin Borel
Pierre Bossier
Drayton Boucher
Jesse L. Boucher
Savannah Smith Boucher
Sherry Boucher
Charles Boustany
Denise Boutte
