Spiro T. Agnew
Charles Joseph Bonaparte
John R. Bolton
Anthony G. Brown
Charles Carroll of Carrollton
Samuel Chase
Frank J. Christensen
J. Joseph Curran
Frederick Douglass
Robert L. Ehrlich
John Hanson
Steny Hoyer
Thurgood Marshall
Kweisi Mfume
Catherine Curran O'Malley
Martin J. O'Malley
William Paca
Nancy Pelosi
William Donald Schaefer
Sargent Shriver
Michael S. Steele
Roger Taney
Kathleen Kennedy Townsend
Jeffrey Zients
Dawn Zimmer
Doug Duncan
Otto Eugene Adams
Richard Snowden Andrews
Ephraim Francis Baldwin
Henry F. Brauns
William Buckland 
Wright Butler
Albert Cassell
Charles E. Cassell
Thomas Dixon 
George A. Frederick
Nathaniel Henry Hutton
William Rich Hutton
Edmund George Lind
J. Crawford Neilson
John Rudolph Niernsee
Edward L. Palmer
Theodore Wells Pietsch I
Bruce Price
Howard Van Doren Shaw
Gideon Shryock
Mathias Shryock
Joseph Evans Sperry
John Appleton Wilson
Benjamin Banneker
Brady Barr
Ben Carson
Rachel Carson
George Dantzig
Roger L. Easton
Charles Fefferman
Henry Gantt
Solomon W. Golomb
Michael D. Griffin
Arlo Hemphill
Nick Katz
John Mauchly
Ayub K. Ommaya
Mila Rechcigl
Arthur William Savage
Paul Reed Smith
John Archibald Wheeler
Edward Witten
John Barth
Carl Bernstein
Hanne Blank
Ann Brashares
Pat Brown 
Erin Burnett
James M. Cain
Kiran Chetry
Connie Chung
Tom Clancy
Lucille Clifton
Frank Deford
Matt Drudge
Roland Flint
Courtney Friel
Jesse Glass
Meredith Goldstein
Mary Downing Hahn
Dashiell Hammett
Karen Hesse
Zora Neale Hurston
Sophie Kerr
Michael Kimball
Gayle King
Mel Kiper Jr.
Munro Leaf
Rick Leventhal
Walter Lord
H. L. Mencken
Emily J. Miller
Frank Miller 
Ogden Nash
Suzan-Lori Parks
Adrienne Rich
Nora Roberts
Thomas Roberts 
John Thomas Scharf
Karl Shapiro
Upton Sinclair
Norman Solomon
Bud Sparhawk
Anne Tyler
Leon Uris
Scott Van Pelt
Fredricka Whitfield
James Wolcott
Scott Ambush
Bernard Addison
Brian Transeau
Niki Barr
Keter Betts
Eubie Blake
Entrance 
Bossman 
Toni Braxton
Mark Bryan
David Byrne 
Bill Callahan 
Cab Calloway
Eva Cassidy
Cex 
Eric Hutchinson
JC Chasez
John Christ
Dan Deacon
Adam Duritz
Cass Elliot
Sam Endicott
John Fahey 
Mark Fax
Hootie & the Blowfish
Danny Gatton
Ginuwine
Philip Glass
Robert Gordon 
Tamyra Gray
Billie Holiday
Ron Holloway
Scott Hull 
Julienne Irwin
Joan Jett
LaKisha Jones
Tommy Keene
