Johan Arnd Aasgaard
Barkhad Abdi
Walter Abel
Martin Abern
Amy Adams
Charles Edward Adams 
Anthony Adducci
Peter Agre
Faysal Ahmed
Walden L. Ainsworth
Eddie Albert
Frank Albertson
Grady Alderman
Cole Aldrich
Cyrus Aldrich
John G. Alexander
Brother Ali
Bob Allison
A. A. Ames
Herman Carl Andersen
Alan Anderson 
Brad Anderson 
C. Elmer Anderson
Dan Anderson 
Elmer L. Andersen
Eugenie Anderson
G. Barry Anderson
Gene Anderson
Larry Anderson 
Gary Anderson 
Liz Anderson
Loni Anderson
Louie Anderson
Marc Anderson
Morten Andersen
Ole Anderson
Patricia Anderson
Paul H. Anderson
Richard Dean Anderson
Russell A. Anderson
Sydney Anderson
Wendell Anderson
August H. Andresen
Patty Andrews
Maxene Andrews
LaVerne Andrews
Christopher Columbus Andrews
Ernest Angelo
Kofi Annan
James Anton
Henry M. Arens
Richard Arlen
Thomas H. Armstrong
Dave Arneson
James Arness
Dorothy Arnold 
Jeanne Arth
Antoine Auguelle
Horace Austin
Hy Averback
John T. Averill
Lew Ayres
Tim M. Babcock
Michele Bachmann
David Backes 
Tim Bagley
Bill Baker 
Jim Bakker
Melvin Baldwin
Joseph H. Ball
Keith Ballard
Ann Bancroft
Dominique Barber
Marion Barber III
Dean Barkley
Lynsey Bartilson
Alphonso Barto
Carol Bartz
Earl Battey
Elgin Baylor
Brian Baumgartner
Charles Baxter 
Tracy Beckman
James Bede
Nicholas Joseph Begich
Troy Bell
Clyde Bellecourt
Sharon Sayles Belton
Chief Bender
Dorothy Benham
Paris Bennett
Tony Benshoof
Elmer Austin Benson
Joanne Benson
William Benton 
Juan Berenguer
Patty Berg
Robert Bergland
Tim Bergland
Jason Behr
John Bernard 
Philip Berrigan
Bill Berry
Jessica Biel
Bernie Bierman
Big Eagle
John Binkowski
Matt Birk
Harry Blackmun
Matt Blair
Jason Blake 
John Blatnik
Jerome Blatz
Kathleen A. Blatz
Theodore C. Blegen
Josh Blue
Carol Bly
Bert Blyleven
Eduard Bøckmann
Haldor Boen
Roman Bohnen
Greg Boll
Brian Bonin
Jeremy Borash
Madeleine Bordallo
Lorraine Borg
Rudy Boschwitz
Lyman Bostock
Norman Borlaug
Todd Bouman
Lloyd Wheaton Bowers
Greg Boyd 
Marlon Brando
Joe Brinkman
Ivar Brogger
Herb Brooks
Neal Broten
Jim Brower
Aaron Brown 
Bill Brown 
Brianna Brown
Joey Browner
Brownmark
Bob Bruer
Tom Brunansky
Bobby Bryant
Rich T. Buckler
Clarence Buckman
Warren E. Burger
Michael C. Burgess
Tom Burgmeier
Joseph A. A. Burnquist
Jerry Burns
Tom Burnett
Pierce Butler 
Dominique Byrd
