James Bevel
Ruby Bridges
African-American Civil Rights Movement 
Will D. Campbell
James Chaney
Vernon Dahmer
Charles Evers
Medgar Evers
Myrlie Evers-Williams
Grenada
C. L. Franklin
Lloyd L. Gaines
Duncan Montgomery Gray
Percy Greene
Lawrence Guyot
Fannie Lou Hamer
Perry Wilbon Howard
Winson Hudson
Clyde Kennard
Tougaloo College
James Meredith
Anne Moody
Fred Phelps
Ida B. Wells
Donald Wildmon
Joshua Alba
Mary Alice
Dana Andrews
Roscoe Ates
Katherine Bailess
Laura Bailey 
Earl W. Bascom
Willie Best
Jimmy Boyd
Don Briscoe
Geneva Carr
Finn Carter
Wally Cassell
Lacey Chabert
Alvin Childress
Gary Collins 
Wyatt Emory Cooper
Cassi Davis
John Dye
Mary Elizabeth Ellis
Ruth Ford 
Morgan Freeman
M. C. Gainey
Cynthia Geary
Gavin Gordon 
Allie Grant
Nikki Griffin
Gary Grubbs
Lynn Hamilton 
Beth Henley
Jim Henson
Anthony Herrera
Wilbur Higby
Shauntay Hinton
Eddie Hodges
Thelma Houston
Don Jeffcoat
James Earl Jones
Robert Earl Jones
Simbi Khali
Diane Ladd
Daniel Curtis Lee
Tom Lester
Martha Mattox
Shane McRae
Gerald McRaney
Mary Ann Mobley
Parker Posey
Evelyn Preer
Thalmus Rasulala
Beah Richards
Eric Roberts
Toni Seawright
Larry Semon
Britney Spears
Jamie Lynn Spears
Taylor Spreitler
Stella Stevens
Tonea Stewart
Byron Thames
Ashley Thompson
Joe M. Turner
James Michael Tyler
Brenda Venus
Ray Walston
Sela Ward
James Wheaton
Kit Williamson
Oprah Winfrey
Hattie Winston
Jere Allen
James McConnell Anderson
Peter Anderson 
Clinton
Walter Inglis Anderson
Earl W. Bascom
Greenville
Howard Bingham
Oxford
Marshall Bouldin III
Conerly Trophy
Andrew Bucci
Byron Burford
William Dunlap
Sam Gilliam
Oxford
Ted Jackson
Chris LeDoux
John McCrady
Ed McGowin
Fred Mitchell 
Belzoni
George E. Ohr
J. Kim Sessums
Floyd Shaman
Jack Spencer 
Glennray Tutor
James W. Washington
Dick Waterman
Alex Bonner
Paul Gallo 
Lee Habeeb
Iris Kelso
Chris McDaniel
Angela McGlowan
Randall Pinkston
Robin Roberts 
Norman Robinson 
Doug Russell 
Tavis Smiley
Shepard Smith
Oprah Winfrey
Jerry Clower
David L. Cook
Mack Dryden
Tig Notaro
James Madison Carpenter
Joseph Crespino
Jesse Dukeminier
William R. Ferris
Edgar Godbold
George W. Grace
Robert Khayat
Rory Lee
Mamie Locke
John A. Lomax
Frances Lucas
Bernie Machen
Walter E. Massey
William H. Miller 
William Muse
Rod Paige
Milburn Price
Dan Reneau
Roy Vernon Scott
Jimmy G. Shoalmire
Argile Smith
Dale Thorn
Louis Westerfield
Fannie C. Williams
Jim Barksdale
Joseph A. Biedenharn
James Breckenridge Speed
Fred Carl
Cully Cobb
Cynthia Cooper 
Bernard Ebbers
Joshua Green 
Toxey Haas
William Morris Agency
Robert L. Johnson
Ken Lewis 
Walter E. Massey
Glenn McCullough
Charles Moorman
Clarence Otis
Hartley Peavey
Pig Foot Mary
Warner-Amex Satellite Entertainment
J. H. Rush
Frederick W. Smith
A. Maceo Walker
Zig Ziglar
Charles Burnett 
Jamaa Fanaka
John Fortenberry
Lawrence Gordon 
Jonathan Murray
Patrik-Ian Polk
Larry A. Thompson
Rhesa H. Barksdale
Neal Brooks Biggers Jr.
William Joel Blass
Debra M. Brown
Gerald Chatham
Bobby DeLaughter
Jess H. Dickinson
Boyce Holleman
Lucy Somerville Howorth
Greenville
E. Grady Jolly
W. Allen Pepper
Charles W. Pickering
Thomas Rodney
Richard Scruggs
Michael B. Thornton
Ben Toledano
Michael Wallace 
James R. Williams 
William Wirt Adams
Van T. Barfoot
William Barksdale
William Billingsley
Alvin C. Cockrell
Nathan Bedford Forrest
Band of Brothers 
Jeffery Hammond
Randolph M. Holder
Felix Huston
Samuel Reeves Keesler
Newton Knight
Roy Joseph Marchand
Henry Pinckney McCain
John S. McCain
Donald H. Peterson
Charles Read 
Viola B. Sanders
Daniel Isom Sultan
James Monroe Trotter
Richard H. Truly
Louis Wilson
Jennifer Adcock
Kristi Addis
Susan Akin
Jenna Edwards
Ruth Ford 
Taryn Foshee
Lauren Jones
June Juanico
Nan Kelley
Kendra King
Christine Kozlowski
Leah Laviano
Monica Louwerens
John Epperson
Lynda Lee Mead
Mary Ann Mobley
Kimberly Morgan
Cheryl Prewitt
Crystal Renn
Toni Seawright
Naomi Sims
Ellen Stratton
Amy Wesson
Cindy Williams 
Jalin Wood
3 Doors Down
John Luther Adams
Afroman
Tommy Aldridge
Mose Allison
Robert Anderson 
Steve Azar
Milton Babbitt
Glen Ballard
David Banner
Matt Barlow
Prentiss Barnes
Lance Bass
Jeff Bates
Beanland 
Robert Belfour
Carey Bell
Big Time Sarah
The Blackwood Brothers
James Blackwood
Blind Melon
Blind Mississippi Morris
Blue Mountain 
Lucille Bogan
Charley Booker
Eddie Boyd
Bobby Bradford
Jan Bradley
Delaney Bramlett
Cory Branan
Jackie Brenston
Big Bill Broonzy
"Eddie ""Bongo"" Brown"
Willie Brown 
Jimmy Buffett
R. L. Burnside
Jerry Butler 
Cadillac Don & J-Money
G. C. Cameron
Ace Cannon
Gus Cannon
Bo Carter
Johnny Carver
The Chambers Brothers
Sam Chatmon
Otis Clay
Chalmers Clifton
Odia Coates
Hank Cochran
Bill Coday
Phil Cohran
Colour Revolt
Mike Compton 
David L. Cook
Sam Cooke
The Cook Family Singers
The Cooters
James Cotton
Arthur Crudup
George Cummings
Olu Dara
Lester Davenport
Liz Davis 
Paul Davis 
Jimmy Dawkins
Al Denson
Bo Diddley
Willie Dixon
Nate Dogg
Marshall Drew
Kevin Dukes
Omar Kent Dykes
Judy Dunaway
Meredith Edwards 
Ruby Elzy
Lehman Engel
Chris Ethridge
Shelly Fairchild
Charlie Feathers
Five Blind Boys of Mississippi
Steve Forbert
Barbara Siggers Franklin
Lee Garrett
"Eric ""Red Mouth"" Gebhardt"
Bobbie Gentry
Mickey Gilley
Mark Gray 
Garland Green
Lloyd Green
Elizabeth Greenfield
Al Goodman 
Ted Hawkins
Greenville
Jessie Mae Hemphill
Caroline Herring
Michael Henderson
Aretha Henry
Faith Hill
Kim Hill 
Ernie Hines
Milt Hinton
John Lee Hooker
Big Walter Horton
Son House
Randy Houser
Thelma Houston
Guy Hovis
Howlin' Wolf
Cary Hudson
Mississippi John Hurt
Clifton Hyde
Carl Jackson
Cordell Jackson
Elmore James
Skip James
Jimi Jamison
Roosevelt Jamison
Jai Johanny Johanson
Big Jack Johnson
Jimmy Johnson 
Robert Johnson 
Syl Johnson
Margie Joseph
Junior Kimbrough
Albert King
B. B. King
Fern Kinney
Fred Knoblock
Kudzu Kings
Sonny Landreth
Skylar Laine
Denise LaSalle
Rick Lawson
Chris LeDoux
Mylon LeFevre
J. B. Lenoir
"Robert ""Squirrel"" Lester"
Bobby Lounge
Dent May
Tommy McClennan
George McConnell
Kansas Joe McCoy
Papa Charlie McCoy
Fred McDowell
Mulgrew Miller
Little Milton
Choctaw County
Mississippi Mass Choir
Mississippi Slim 
Monkey Joe
Dorothy Moore
Johnny B. Moore
Jasmine Murray
Charlie Musselwhite
Bill Myrick
North Mississippi Allstars
Brandy Norwood
Willie Norwood
Alexander O'Neal
Paul Overstreet
Ginny Owens
Junior Parker
Michael Passons
Charlie Patton
Dion Payton
Union County
Elvis Presley
Leontyne Price
Charley Pride
John Primer
Stephen Purdy
Ray J
Jimmy Reed
Del Rendon
Mack Rice
LeAnn Rimes
Fenton Robinson
Jimmie Rodgers 
Jimmy Rogers
David Ruffin
Jimmy Ruffin
Bobby Rush 
Otis Rush
Oliver Sain
Magic Sam
Jars of Clay
Saving Abel
Johnny Sea
Toni Seawright
Jumpin' Gene Simmons
Byther Smith
Soulja Boy
Otis Spann
Britney Spears
Judson Spence
Pops Staples
Rogers Stevens
Lisa Stewart
William Grant Still
Barrett Strong
Marty Stuart
Hubert Sumlin
Deanna Summers
Ty Tabor
Eddie Taylor
Hound Dog Taylor
Melvin Taylor
Ernie Terrell
Jean Terrell
James Thomas 
Rufus Thomas
Ashley Thompson
Ike Turner
Conway Twitty
Freddie Waits
Travis Wammack
Walter Ward 
Muddy Waters
Jim Weatherly
Carl Weathersby
Boogie Bill Webb
Bukka White
Carson Whitsett
Tim Whitsett
Webb Wilder
Big Joe Williams
Hayley Williams
Sonny Boy Williamson II
Eddie Willis
Al Wilson 
Cassandra Wilson
Mary Wilson 
Elder Roma Wilson
Grenada
Tammy Wynette
Lester Young
Zora Young
University of Mississippi Medical Center
Henry Cloud
Arthur Guyton
James Hardy 
T. R. M. Howard
Edgar Hull
Thomas Naum James
Thomas Abernethy
Bidwell Adam
Robert H. Adams
James L. Alcorn
William Allain
John Mills Allen
Apuckshunubbee
Haley Barbour
Ethelbert Barksdale
William Barksdale
Ross Barnett
Cheri Barry
Marion Barry
Theodore G. Bilbo
Marsha Blackburn
Hale Boggs
David R. Bowen
Leon Bramlett
Walker Brooke
Blanche Bruce
Ezekiel S. Candler
Gil Carmichael
Joseph W. Chalmers
Travis Childers
John Francis Hamtramck Claiborne
Robert G. Clark
Thad Cochran
James P. Coleman
Jacqueline Y. Collins
Ross A. Collins
William M. Colmer
Greg Davis 
Jefferson Davis
Wayne Dowdy
Brad Dye
James Eastland
Mike Espy
Robert C. Farrell
Erik R. Fleming
Mary E. Flowers
Kirk Fordice
Webb Franklin
Evelyn Gandy
Terry W. Gee
James Z. George
Charles H. Griffin
Gregg Harper
Pat Harrison
Patrick Henry 
Jim Herring
Thomas C. Hindman
Jon Hinson
David Holmes 
Jim Hood
Delbert Hosemann
Benjamin G. Humphreys
Benjamin G. Humphreys II
William Y. Humphreys
Paul B. Johnson
Paul B. Johnson
Pete Johnson 
Daryl Jones 
Penne Percy Korth
Lucius Quintus Cincinnatus Lamar 
Greenwood LeFlore
Elmer Litchfield
Mamie Locke
Trent Lott
Chokwe Lumumba
John R. Lynch
Ray Mabus
Harlan Majure
Lewis McAllister
Glenn McCullough
Chris McDaniel
Hernando Money
Gillespie V. Montgomery
Mike Moore 
Stanford Morse
Ronnie Musgrove
Spencer Myrick
Alan Nunnelee
Rod Paige
Rubel Phillips
Chip Pickering
Stacey Pickering
Charles K. Pringle
John E. Rankin
Red Shoes 
Clarke Reed
Jack Reed 
Bill Renick
Hiram Rhodes Revels
Carol Schwartz
Abram M. Scott
Ronnie Shows
Jim Singleton
Larkin I. Smith
Larry Speakes
John C. Stennis
"William H. ""Bill"" Stone"
Tom Stuart 
William V. Sullivan
Gene Taylor 
Bennie Thompson
Jacob Thompson
Amy Tuck
James K. Vardaman
Jamie L. Whitten
Roger Wicker
Thomas Hickman Williams
Norris C. Williamson
William Arthur Winstead
William Winter 
Seelig Wise
Fielding L. Wright
Wirt Yerger
Earl W. Bascom
Gail Borden
Pine-Sol
James A. Ford
Fred Haise
Elizabeth Lee Hazen
Joseph Newman 
Henry Sampson 
Roy A. Tucker
Susie Gibson
Moses Hardy
Bettie Wilson
Ace Atkins
William Allegrezza
Howard Bahr
Frederick Barthelme
Earl W. Bascom
Lerone Bennett
Douglas A. Blackmon
Maxwell Bodenheim
Outdoor Life
McComb
Larry Brown 
Sweet Potato Queens
Jack Butler 
Mary Cain 
Hodding Carter
Hodding Carter III
Craig Claiborne
Mart Crowley
Borden Deal
Ben Domenech
David Herbert Donald
Ellen Douglas
John T. Edge
Woody Evans
William Clark Falkner
John Faulkner 
William Faulkner
Jackson
Vic Fleming
Shelby Foote
Charles Henri Ford
Richard Ford
Lynn Franklin
Oxford
Ellen Gilchrist
John Grisham
Barry Hannah
Charlaine Harris
Thomas Harris
Beth Henley
M. Carl Holman
Greg Iles
Gregory Keyes
Muna Lee 
Clinton LeSueur
Sam Chu Lin
Anne Moody
Willie Morris
Jess Mowry
Vicksburg
Thomas Naylor
Lewis Nordan
Steven Ozment
Walker Percy
William Alexander Percy
Thomas Hal Phillips
William Raspberry
Kevin Sessums
Patrick D. Smith
Robert Bruce Smith
Elizabeth Spencer 
Kathryn Stockett
William N. Still
Donna Tartt
Clifton Taulbert
Mildred D. Taylor
Wright Thompson
Natasha Trethewey
Jamie Langston Turner
Irving Vendig
Brenda Venus
Howard Waldrop
Mendenhall
Jesmyn Ward
Peggy Webb
Eudora Welty
Gulfport
Tennessee Williams
Richard Wright 
Al Young
Stark Young
Roger W. Cole 
Arthur Blessitt
Miriam Chamani
James Copeland 
Cat Cora
Jeff Fort
Larry Hoover
Leslie Hubricht
Mary Comfort Leonard
L.H. Musgrove
Haller Nutt
Scott sisters
Lenny Skutnik
Richard Ragan
Category:Mississippi-related lists
Category:People from Mississippi
Category:All articles with dead external links
Category:Articles with dead external links from May 2014
Category:All articles with unsourced statements
Category:Articles with unsourced statements from November 2009
Category:Articles with unsourced statements from November 2013
Category:Articles with unsourced statements from October 2013
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
