Helen Andelin
Maya Angelou
Thomas P. Barnett
Thomas Hart Benton 
George Caleb Bingham
Edward McKendree Bounds
Mark Bowden
William S. Burroughs
Kate Chopin
Lester Dent
Suzette Haden Elgin
T. S. Eliot
Mary Engelbreit
Michael Evans 
Eugene Field
Martha Gellhorn
William Least Heat-Moon
Robert A. Heinlein
Frederick Hibbard
Langston Hughes
William W. Johnstone
Donald Judd
Jim Lee
David Limbaugh
Bernarr Macfadden
Dennis L. McKiernan
Marianne Moore
Archie Musick
John R. Musick
Ruth Ann Musick
H. Richard Niebuhr
Reinhold Niebuhr
John Ross 
Charles Marion Russell
Clay Shirky
Kimora Lee Simmons
Sara Teasdale
Kay Thompson
Mark Twain
Verner Moore White
Laura Ingalls Wilder
Tennessee Williams
Daniel Woodrell
Carl Edwards
Jamie McMurray
Kenny Schrader
Kenny Wallace
Mike Wallace 
Rusty Wallace
Jake Arrieta
Jake Beckley
Cool Papa Bell
Yogi Berra
Brian Boehringer
Clete Boyer
Ken Boyer
Mark Buehrle
David Cone
Joe Crede
John Donaldson 
Scott Elbert
A. J. Ellis
David Freese
Gabe Gabler
Joe Garagiola
Lucas Harrell
Ken Holtzman
Tommy Hottovy
Elston Howard
Ryan Howard
Eric Hurley
Vern Kennedy
Bob Keppel
Darold Knowles
Ron Kulpa
Sam LeCure
Shaun Marcum
Zach Miner
Stan Musial
Al Nipper
Darren Oliver
Josh Outman
Barney Pelty
David Phelps 
Albert Pujols
Steve Rogers 
Trevor Rosenthal
Max Scherzer
Art Shamsky
Mike Shannon
Dave Silvestri
Paul Splittorff
Casey Stengel
Mel Stottlemyre
Rick Sutcliffe
Jacob Turner
Scott Van Slyke
Earl Weaver
Mack Wheat
Zack Wheat
Phog Allen
Bill Bradley
Alec Burks
Tyler Hansbrough
Josh Harrellson
Larry Hughes
David Lee 
Tyronn Lue
Brandon Rush
Kareem Rush
Scott Sims
Norm Stewart
Anthony Tolliver
Steve Atwater
Allen Barbre
Jason Brookins
Colin Brown 
Paul Christman
Adrian Clayborn
Chase Coffman
Dan Connolly 
Dan Dierdorf
Herb Donaldson 
Lenvil Elliott
Don Faurot
Josh Freeman
Blaine Gabbert
Justin Gage
Tony Galbreath
Conrad Goode
Cal Hubbard
Brandon Joyce
Terry Joyce
Howard Kindig
Ryan Lilja
Jeremy Maclin
Marvin McNutt
Eric Moore 
William Moore 
Jim Musick
Neil Rackers
Gijon Robinson
Martin Rucker 
Mike Rucker
Aldon Smith
Justin Smith 
James Wilder
Gregg Williams
Amy Alcott
Brandel Chamblee
Tom Pernice
Judy Rankin
Payne Stewart
Tom Watson 
Ben Bishop
Chris Butler 
Cam Janssen
Pat LaFontaine
Mike McKenna 
Paul Stastny
Yan Stastny
Landon Wilson
Joe Vitale 
Michael Davies 
Travis Turnbull
Freddie Blassie
Bob Brown 
Bob Geigel
Kane 
Rufus R. Jones
Evan Bourne
Sam Muchnick
William Mueller
Matt Murphy 
Barry Orton
Bob Orton
Randy Orton
Harley Race
Lou Thesz
Virgil Akins
Devon Alexander
Henry Armstrong
Butch Buchholz
Christian Cantwell
Kim Chizevsky-Nicholls
Dwight F. Davis
Doris Hart
Bud Houser
Jack Jewsbury
Ben A. Jones
"Horace A. ""Jimmy"" Jones"
Conn McCreary
Chuck McKinley
Helen Stephens
Thomas Akers
Jimmie Angel
Melville W. Beardsley
Janet L. Kavandi
Bill Lear
Charles Lindbergh
James Smith McDonnell
William Henry Ashley
Henry W. Bloch
Richard Bloch
Adolphus Busch
William H. Danforth
John Doerr
James Buchanan Eads
Charles and Ray Eames
David Glass 
Joyce Hall
William Preston Hall
John Q. Hammons
Howard R. Hughes
George M. Keller
R. Crosby Kemper Jr.
William Thornton Kemper
Ewing Kauffman
Rebecca Mark-Jusbasche
N. O. Nelson
Thomas F. O'Neil
J. C. Penney 
Rex Sinquefield
John Sperling
Gerard Swope
Jack C. Taylor
Sam Walton
Robert E. Wood
Peter Youree
Anthony Brancato
Ray and Faye Copeland
Egan's Rats
Leo Vincent Brothers
Fred Burke
William Colbeck
Walter Costello
"Harry ""Cherries"" Dunn"
Thomas Egan 
William Egan 
Max Greenberg
Frank Hackethal
Thomas Kinney
"David ""Chippy"" Robinson"
"William ""Skippy"" Rohan"
Roy Gardner 
Tom Horn
Kansas City crime family
Charles Binaggio
Anthony Brancato
William Cammisano
Charles Carrollo
Anthony Civella
Carl Civella
Nicholas Civella
"Carl ""Tuffy"" DeLuna"
Pretty Boy Floyd
Charles Gargotta
Anthony Gizzo
John Lazia
Kenneth Lay
Little Britches 
James Earl Ray
James-Younger Gang
Frank James
Jesse James
Cole Younger
John Younger
Bob Younger
Jim Younger
Robert Ford 
Tom Pendergast
St. Louis crime family
Anthony Giordano
Matthew Trupiano
John Vitale 
Belle Starr
Goodman Ace
Jane Ace
Zoë Akins
Robert Altman
Ed Asner
Scott Bakula
Josephine Baker
Tisha Terrasini Banker
Ryan Michelle Bathe
Jeff Branson
John Beal 
Gerry Becker
Noah Beery
Wallace Beery
Rob Benedict
Fred Berry
Linda Blair
Johnny Yong Bosch
Brent Briscoe
Kent Broadhurst
Norbert Leo Butz
Morris Carnovsky
Conlan Carter
Don Cheadle
Anthony Cistaro
Sarah Clarke
Lynn Cohen
Frank Converse
Chris Cooper 
John Cothran
Joan Crawford
Greg Cromer
Robert Cummings
Erin Daniels
Don S. Davis
Kurt Deutsch
Walt Disney
Dale Dye
Cliff Edwards
Jenna Fischer
Henderson Forsythe
James Franciscus
Phyllis Fraser
Friz Freleng
Bob Gale
Betty Garrett
Heather Goldenhersh
John Goodman
Lucas Grabeel
Betty Grable
Bryan Greenberg
Dabbs Greer
Eddie Griffin
Davis Guggenheim
Robert Guillaume
James Gunn 
Sean Gunn
Moses Gunn
Jon Hamm
Jean Harlow
George Hearn
George Hickenlooper
Dennis Hopper
Arliss Howard
Rupert Hughes
John Huston
Don Johnson
Jay Kenneth Johnson
Janet Jones
Neal Jones
Brenda Joyce 
Andreas Katsulas
Ellie Kemper
Edward Kerr
Lincoln Kilpatrick
Kevin Kline
Evalyn Knapp
David Koechner
Kasi Lemmons
Angela Lindvall
Mark Linn-Baker
Marsha Mason
Michael Massee
Wendell Mayes
Virginia Mayo
Edie McClurg
Frank McGrath 
Steve McQueen
John Milius
Mircea Monroe
Dustin Nguyen
Eva Novak
Jane Novak
Dan O'Bannon
Denis O'Hare
Kevin O'Morrison
Timothy Omundson
Holmes Osborne
Diana Ossana
Geraldine Page
Carlos Pena
Evan Peters
Julie Piekarski
Brad Pitt
William Powell
Vincent Price
Sally Rand
Leonard Roberts
Ginger Rogers
Sol Smith Russell
Phyllis Smith
Kelly Stables
Craig Stevens 
Christian Stolte
Skyler Stone
Betty Thomas
Kay Thompson
William Traylor
Kathleen Turner
Stephen Barker Turner
Dick Van Dyke
Jerry Van Dyke
Jack Wagner 
Dennis Weaver
Jason Wiles
Mykelti Williamson
Jane Wyman
Cedric The Entertainer
Redd Foxx
Dick Gregory
Craig Kilborn
Kathleen Madigan
Kevin Nealon
Randy and Jason Sklar
Guy Torry
Joe Torry
Ralph Barton
George Booth 
Lee Falk
Al Hirschfeld
Fred Lasswell
Glenn McCoy
George McManus
Mike Peters 
Dan Piraro
Mort Walker
Morgan Strebler
Lennie Aleshire
Helen Cornelius
Rusty Draper
Sara Evans
Tyler Farr
Bob Ferguson 
John Hartford
Ferlin Husky
Brett James
The Kendalls
Tom Shapiro
Tate Stevens
Wynn Stewart
Jamie Teachenor
Trent Tomlinson
Leroy Van Dyke
Grammy Award
Rhonda Vincent
Porter Wagoner
Oleta Adams
Ahmad Alaadeen
Norman Brown 
Jimmy Forrest
Coleman Hawkins
Bob James 
Scott Joplin
Pat Metheny
Lennie Niehaus
Charlie Parker
David Sanborn
Wilbur Sweatman
Akon
Fontella Bass
Basement Beats
Chingy
Eminem
Nelly
David Peaston
St. Lunatics
Tech N9ne
Kimberly Wyatt
Chuck Berry
The Bottle Rockets
Cavo
David Cook 
Sheryl Crow
Gravity Kills
Johnnie Johnson 
King's X
Michael McDonald 
Missouri 
Ozark Mountain Daredevils
Louise Post
Puddle of Mudd
The Rainmakers 
Jay Reatard
Wes Scantlin
Shooting Star 
Story of the Year
The Urge
Bob Walkenhorst
Steve Walsh 
Doris Akers
Martha Bass
Burt Bacharach
Neal E. Boyd
Grace Bumbry
Sarah Caldwell
Sara Groves
Dan Landrum
Basil Poledouris
H. Owen Reed
Willie Mae Ford Smith
Bob Barker
Jim Bohannon
Rush Limbaugh
Dana Loesch
Melanie Morgan
Erich Muller
Marlin Perkins
April Scott
Debbye Turner
Shandi Finnessey
Jabari Asim
Joe Buck
Harry Caray
Walter Cronkite
Walker Evans
Joe Garagiola
Dave Garroway
Michael Kim 
Carol Platt Liebau
Mary Margaret McBride
Dan McLaughlin
Russ Mitchell
Lisa Myers
Stone Phillips
Joseph Pulitzer
Howard Rushmore
William T. Anderson
Charles D. Barger
John L. Barkley
Frederick Benteen
Omar Bradley
Robert Coontz
John V. Cox
Enoch Crowder
Duke Cunningham
James Phillip Fleming
John C. Fremont
Frederick Dent Grant
Martin E. Green
John McNeil
Wayne E. Meyer
David Moore 
Floyd B. Parks
John Henry Parker 
John J. Pershing
Sterling Price
William Quantrill
John H. Quick
James E. Rieger
Maxwell D. Taylor
Stephen W. Thompson
George Allison Whiteman
Arthur L. Willard
William Becknell
Johnny Behan
Susan Blow
Calamity Jane
Dale Carnegie
Timothy M. Dolan
Ella Ewing
Bobby Greenlease
Raelynn Hillhouse
