Joba Chamberlain
Crazy Horse
Angel De Cora
Chief Waukon Decorah
He Dog
Hononegah
Francis La Flesche
Susan La Flesche Picotte
Susette LaFlesche Tibbles
Little Hawk
Mountain Wolf Woman
Red Bird
Red Cloud
Mitchell Red Cloud
Chief Standing Bear
John Trudell
Yellow Thunder
Kim Winona
Raymond Yellow Thunder
James Young Deer
Herbert Brownell
William Jennings Bryan
Hugh A. Butler
James Vincenzo Capone
Ernie Chambers
Dick Cheney
George E. Cryer
Glenn Cunningham 
Carl Curtis
Samuel Gordon Daily
Robert Vernon Denney
Jane English 
J. James Exon
Gerald Ford
Dwight Griswold
Chuck Hagel
Robert Dinsmore Harrison
Edgar Howard
Bob Kerrey
Julius Sterling Morton
Kay A. Orr
Peter George Peterson
Donald Pike
Leo Ryan
Ted Sorensen
Charles Thone
Kenneth S. Wherry
Buffalo Bill Cody
Alfred Gruenther
Galen B. Jackman
Bob Kerrey
Francis P. Matthews
Butler B. Miltonberger
Jarvis Offutt
John J. Pershing
Forrest S. Petersen
James G. Roudebush
Albert Coady Wedemeyer
Wesley Addy
Adele Astaire
Fred Astaire
Pamela Austin
Ray Baker 
John Beasley 
Michael Biehn
Ward Bond
Marlon Brando
Justin Bruening
Montgomery Clift
Abbie Cobb
James Coburn
James M. Connor
Sandy Dennis
David Doyle 
Mary Doyle
Christopher B. Duncan
Leslie Easterbrook
Ruth Etting
Jim Fitzpatrick 
Henry Fonda
Hoot Gibson
Coleen Gray
Bryan Greenberg
Leland Hayward
Marg Helgenberger
Brad William Henke
Hallee Hirsh
Virginia Huston
David Janssen
Jay Karnes
Jaime King
Swoosie Kurtz
Harold Lloyd
Pierce Lyden
Gordon MacRae
Holt McCallany
Dorothy McGuire
Fred Niblo
Nick Nolte
Alexander Payne
Lenka Peterson
Scott Porter
Anne Ramsey
Thurl Ravenscroft
Rebecca Staab
Hilary Swank
Inga Swenson
Robert Taylor 
Janine Turner
John Trudell
Gabrielle Union
Lucky Vanous
Charles Weidman
Irene Worth
Darryl F. Zanuck
James Adomian
Johnny Carson
Adam DeVine
Godfrey 
Larry the Cable Guy
Angela V. Shelton
Roger Welsch
Dick Cavett
Floyd Kalber
Lindsey Shaw
Kim Winona
Paula Zahn
311 
Lejuan Chism 
Remedy Drive
VOTA
Kianna Alarid
Roni Benise
Ruth Etting
Todd Fink
Chip Davis
Karmin
Howard Hanson
Wynonie Harris
Neal Hefti
Neely Jenkins
Tim Kasher
Matty Lewis
Conor Oberst
Bryan Olesen
Jamie Pressnall
Paul Revere & the Raiders
Ann Ronell
Josh Rouse
Elliott Smith
Ryland Steen
Matthew Sweet
John Trudell
James Valentine 
Paul Williams 
Roger Williams 
Zager and Evans
Bess Streeter Aldrich
Hartley Burr Alexander
Kurt Andersen
Gutzon Borglum
Solon Borglum
Willa Cather
Earle D. Chesney
Ana Marie Cox
Loren Eiseley
Angel De Cora
John Philip Falter
Ernest K. Gann
Terry Goodkind
Robert Henri
M. Miriam Herrera
Clifton Hillegass
L. Ron Hubbard
Lew Hunter
Weldon Kees
Ted Kooser
Stephen R. Lawhead
Francis La Flesche
Susette LaFlesche Tibbles
Christopher Lasch
DeBarra Mayo
Wright Morris
John Neihardt
Rose O'Neill
Daniel Quinn
Edward Ruscha
Brandon Sanderson
Mari Sandoz
Joel Sartore
Nicholas Sparks 
Anna Louise Strong
John Trudell
Howard F. Ahmanson
Walter Behlen
Warren Buffett
Richard N. Cabela
Paul Endacott
Joyce Hall
Andrew Higgins
Peter Kiewit
C. Edward McVaney
William Norris 
Edwin Perkins 
Walter Scott
Carl A. Swanson
Evan Williams 
Darin Wolf 
Clayton Anderson
Nancy Coover Andreasen
Henry Beachell
George Wells Beadle
Charles Edwin Bessey
Leon Douglass
John R. Dunning
Doc Edgerton
Rollins A. Emerson
Jay Wright Forrester
Daniel Freeman
Jay Keasling
Edmund Jaeger
Francis La Flesche
Susan La Flesche Picotte
Max Mathews
Victor Mills
Donald Othmer
Ivan Sutherland
Grover Cleveland Alexander
Barry Alvarez
Heather Armbrust
Max Baer 
George Baird 
Brad Beckman
Wade Boggs
Steve Borden
Bob Cerv
Joba Chamberlain
Jeromey Clary
Brian Deegan 
Bob Devaney
Ted DiBiase
Brian Duensing
Chad Fleischer
Rulon Gardner
Bob Gibson
Johnny Goodman
Alex Gordon
Ahman Green
Ron Hansen 
Alex Henery
Opal Hill
Russ Hochstein
Jeremy Horn
Chris Kelsay
Monte Kiffin
Sam Koch
Manny Lawson
Frank Leahy
Sean McDermott
Zach Miller 
Gregg Olson
Jed Ortmeyer
Tom Osborne 
Zach Potter
Ron Prince
James Raschke
Andy Roddick
Gale Sayers
Scott Shanle
George Stone 
Curtis Tomasevicz
Jack Van Berg
Gorgeous George
Dan Warthen
Danny Woodhead
Penny 
Omaha
David Phelps Abbott
Grace Abbott
Lucas Cruikshank
Frank W. Cyr
K. G. William Dahl
Clayton Danks
Merle Hansen
Carmelita Hinton
John L. Loos
Malcolm X
Roscoe Pound
Teresa Scanlan
Charles Starkweather
Brandon Teena
Virginia Lamp Thomas
Who's Who in Nebraska
Category:People from Nebraska
Category:Use mdy dates from August 2013
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
