Mark E. Amodei
Kathy Augustine
Walter S. Baring
Helen Delich Bentley
Alan Bible
James Bilbray
Emmet D. Boyle
Berkeley L. Bunker
Howard Cannon
Jim Gibbons 
Morley Griswold
Carolyn Goodman
Oscar Goodman
Dean Heller
Velma Bronn Johnston
Paul Laxalt
Myron E. Leavitt
Pat McCarran
Mike McGinness
Pat Nixon
Key Pittman
Vail M. Pittman
Harry Reid
Willard Hughes Rollings
Grant Sawyer
Jon Wellinghoff
Art Bell
Albert Edmunds Cahlan
Norm Clarke
Hank Greenspun
Andre Agassi
Greg Anthony
Luke Babbitt
Ryan Bader
Shannon Bahrke
Marcus Banks
Craig Barlow
Avery Bradley
Kurt Busch
Brendan Gaughan
Gina Carano
Ramón Castro
Spencer Clark 
Rico Constantino
Marty Cordova
Harvey Dahl
Ricky Davis
Brandyn Dombrowski
Marion Jones Farquhar
Bryce Harper
Carey Hart
Steven Jackson
Colin Kaepernick
Klete Keller
Jack Kramer
Iris Kyle
Joseph Lang
T.J. Lavin
Ryan Ludwick
Greg Maddux
Julia Mancuso
Jake McGee 
Maurice E. McLoughlin
Frank Mir
DeMarco Murray
Amy Purdy
Nate Schierholtz
Adam Seward
Scott Smith 
Brandon Snyder
Stevenson Sylvester
Byron Velvick
C. J. Watson
Matt Williams 
Aarik Wilson
Charles Wright 
Barry Zito
Jason Zucker
Ben Alexander 
Mädchen Amick
Deanna Brooks
Reno Browne
Charisma Carpenter
Dillon Casey
Hobart Cavanaugh
Daveigh Chase
Tishara Cousino
Cindy Crawford 
Abby Dalton
Gabriel Damon
Misty Dawn
Doris Dawson
Loren Dean
Thomas Dekker 
Brad Dexter
Leah Dizon
Chase Ellison
Kathy Evison
Joe Flanigan
Michele Greene
Matthew Gray Gubler
Corinna Harney
Veronica Hart
Annette Haven
Adam Hicks
Jenna Jameson
Bryce Johnson
Rebekah Kochan
Michelle Krusiec
Joseph D. Kucan
Erin Lear
Jena Malone
Lily Mariye
Meaghan Jette Martin
Missy Monroe
Lycia Naff
Thomas Ian Nicholas
Sean Palmer
Renee Perez
Mr. Pete
Sasha Pieterse
Kristoffer Polaha
Faye Reagan
Amanda Righetti
Edna Purviance
Stephanie Romanov
Sophia Rossi
Paul Schrier
Jason-Shane Scott
Dana Snyder
Shannyn Sossamon
Charlie Stewart
Bobby Tonelli
Cerina Vincent
Carrie Clark Ward
Dawn Wells
Rutina Wesley
Lauren Woodland
702 
Vernon Alley
Joyce Collins
Rick DeJesus
Daniel de los Reyes
Dino 
Leah Dizon
Brandon Flowers
Dia Frampton
Tony Fredianelli
Mikalah Gordon
Chris Jones 
Jenny Lewis
Justin McBride
Nikki Nelson
Louis Prima Jr
Dan Reynolds 
Ryan Ross
Chuck Ruff 
Lee Scrivner
Kevin Seconds
Billy Sherwood
Mark Slaughter
Spencer Smith 
Lynn Truell
Brendon Urie
Willy Vlautin
David Yow
Dolora Zajick
Glen Charles
Les Charles
C. Jay Cox
Nicholas RAS Furlong
Curtis Hanson
Daniel C. Mitchell
Alta 
Nevada Barr
Charles Bock
Juanita Brooks
Walter van Tilburg Clark
Cecelia Holland
Robert Laxalt
Adrian C. Louis
James Marshall 
Lloyd Osbourne
Lute Pease
Sheldon Rampton
Andrew Romanelli
Geoff Schumacher
Harry Shannon
Georgie Sicking
David Derek Stacton
Richard Walton Tully
Dave Ulrich
Claire Vaye Watkins
Jennifer Allan
James E. Casey
Kimberley Conrad
Laura Dahl
Michael David 
Milton H. Erickson
Sean Hamilton
Jennifer Harman
Chelsie Hightower
Patrice Hollis
Gee Jon
Jimmy Kimmel
Dat So La Lee
Jennifer Lyon
Jessica Miller 
Bob Tallman
J. Buzz Von Ornsteiner
Steve Wynn 
Category:People from Nevada
Category:Use mdy dates from May 2012
Category:Incomplete lists from August 2008
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
