Martin Van Buren
Millard Fillmore
Chester A. Arthur
Grover Cleveland
Theodore Roosevelt
Franklin D. Roosevelt
Aaron Burr
George Clinton 
Schuyler Colfax
Nelson Rockefeller
William A. Wheeler
Parmenio Adams
Shirley Chisholm
Dewitt Clinton
Hillary Rodham Clinton
John J. Dewey
William H. Donaldson
Boris Johnson
William Loeb
Chuck Schumer
Woody Allen
June Allyson
Diane Arbus
Alan Arkin
Alison Arngrim
Jean Arthur
Lauren Bacall
Lucille Ball
Anne Bancroft
Joseph Barbera
Frances Bavier
Barbara Bel Geddes
William Bendix
Constance Bennett
Yasmine Bleeth
Joan Blondell
Ann Blyth
Humphrey Bogart
Shirley Booth
Clara Bow
Abigail Breslin
Adrien Brody
Mel Brooks
James Caan 
James Cagney
Jeff Chandler 
Ruth Chatterton
Claudette Colbert
Billy Crudup
Tom Cruise
Tony Curtis
Claire Danes
Marion Davies
Sammy Davis
Agnes de Mille
Robert De Niro
Willy DeVille
Matt Dillon
Kirk Douglas
Fran Drescher
Jimmy Durante
Alice Faye
Jane Fonda
John Garfield
Ben Gazzara
Sarah Michelle Gellar
Richard Genelle
Jackie Gleason
Paulette Goddard
Elliott Gould
Jennifer Grey
A. R. Gurney
Anne Hathaway
Susan Hayward
Rita Hayworth
Phillip Seymour Hoffman
Judy Holliday
Ruben Santiago-Hudson
Rick Jason
Scarlett Johansson
Danny Kaye
Ricki Lake
Veronica Lake
Burt Lancaster
Michael Landon
Lindsay Lohan
Kristanna Loken
Steele MacKaye
Lee Marvin
James Maslow
Walter Matthau
Eaddy Mays
Ethel Merman
Arthur Miller
Lea Michele
Robert Montgomery 
Dylan O'Brien
Eugene O'Neill
Corey Parker 
George A. Parkhurst
Anthony Perkins
Pat Powers 
Bill Pullman
George Raft
Christopher Reeve
Leah Remini
Thelma Ritter
Tanya Roberts
Ray Romano
Mickey Rooney
Martin Scorsese
George Segal
Edward Selzer
Sylvia Sidney
Barbara Stanwyck
Rod Steiger
Oliver Stone
Beatrice Straight
Fran Striker
Benj Thall
Gene Tierney
Claire Trevor
Tuesday Weld
Mae West
Olivia Wilde
Lanford Wilson
Woody Allen
Lucille Ball
George Carlin
Jimmy Fallon
Jay Leno
Demetri Martin
Chico Marx
Groucho Marx
Gummo Marx
Harpo Marx
Zeppo Marx
Rosie O'Donnell
Chris Rock
Jerry Seinfeld
John Valby
Vinnie Amico
Fiona Apple
Harold Arlen
Adrienne Bailon
David Baker 
Chris Barnes 
Count Basie
Jay Beckenstein
Pat Benatar
Mary J. Blige
Laura Branigan
Keith Buckley
Maria Callas
Mariah Carey
Jay-Z
Peter Case
Peter Cincotti
Coko
John Coltrane
Aaron Copland
Warren Cuccurullo
Vic Dana
Blossom Dearie
Lana Del Rey
Rob Derhak
Lance Diamond
Neil Diamond
Ani DiFranco
Jonathan Donahue
JoAnn Falletta
Morton Feldman
Ella Fitzgerald
John Flansburgh
Lukas Foss
Dave Fridmann
Chuck Garvey
George Gershwin
Kim Gordon
Grasshopper 
Lou Gramm
Joel Hirschhorn
Billie Holiday
Jim Hall 
Alan Heatherington
Ray Henderson
Lady Gaga
Lena Horne
Freddie Jackson
Rick James
Billy Joel
Jerome Kern
Alicia Keys
Carole King
Cyndi Lauper
Mel Lewis
John Linnell
Joe Locke
John Lombardo
Jennifer Lopez
David Lucas 
Gary Mallaber
Constantine Maroulis
Brian McKnight
Don Menza
Natalie Merchant
Stephanie Mills
Gurf Morlix
Josh Newton
Willie Nile
Laura Nyro
Jack Owen
Tina Parol
Joey Ramone
Mary Ramsey
Sharon Redd
Lou Reed
Jason Sebastian Russo
Justin Russo
John Rzeznik
Al Schnier
Billy Sheehan
Paul Simon
Lonnie Smith 
Ronnie Spector
John Stevens 
Stevie J.
Barbra Streisand
Stan Szelest
Robby Takac
George Tutuska
Luther Vandross
Jeremy Wall
The Notorious B.I.G.
Luke Walter Jr.
Grover Washington
Alex Webster
Mary Weiss
Cory Wells
Patrick Wilson 
Jack Yellen
50 Cent
Ja Rule
Jay-Z
LL Cool J
Mos Def
Nas
Notorious B.I.G
Rakim
Rev Run
Lil' Kim
Nicki Minaj
Juelz Santana
Jim Jones
Cam'ron
ASAP Rocky
Busta Rhymes
Mary J. Blige
Cory Gunz
Papoose 
John Jacob Astor
Nicholas F. Brady
C. Douglas Dillon
George Eastman
Joseph Ellicott
William Fargo
Debra Fox
E.H. Harriman
George A. Hormel
Jeremy Jacobs
Seymour H. Knox I
Seymour H. Knox II
John J. Kennedy 
Jon L. Luther
Sherman J. Maisel
J.P. Morgan
Jeremiah Milbank
Jacquelyn Ottman
Henry Paulson
Joseph R. Perella
Robert E. Rich
Donald Regan
John D. Rockefeller
Robert Rubin
Jacob Schiff
Ellsworth Milton Statler
Donald Trump
Cornelius Vanderbilt
Sanford Weill
Henry Wells
John G. Wickser
Robert G. Wilmers
Samuel Hopkins Adams
Scott Adams
Susan B. Anthony
Cory Arcangel
Lauren Belfer
J. Bowyer Bell
Timothy D. Bellavia
Louise Blanchard Bethune
William Bliss Baker
Wolf Blitzer
Lawrence Block
Howard Bloom
Dale Brown
Gordon Bunshaft
Charles E. Burchfield
Charles Clough
Burton Crane
Robert Creeley
Jasper Francis Cropsey
Arthur B. Davies
Melvil Dewey
Amy Dickinson
Amanda Minnie Douglas
Frederick Douglass
Arthur Dove
Philip Evergood
Leslie Fiedler
Steve Fiorilla
Ira Joe Fisher
F. Scott Fitzgerald
Helen Frankenthaler
Kelly Freas
Anna Katharine Green
Edward Brodhead Green
Terry Gross
Alfred Harvey
Richard Hofstadter
Paul Horgan
Roni Horn
Elbert Hubbard
Idil Ibrahim
Washington Irving
Henry James
William James
James A. Johnson 
Ellsworth Kelly
John Kessel
Verlyn Klinkenborg
Nancy Kress
Matt Lauer
Zoe Leonard
Robert Longo
Mabel Dodge Luhan
Norman Mailer
Francis Mallison
Herman Melville
Brice Marden
Ogden Nash
Joyce Carol Oates
William Ordway Partridge
Tim Powers
Ishmael Reed
John Reed 
Seymour Reit
Norman Rockwell
Spain Rodriguez
Milton Rogovin
Charles Rohlfs
Tim Russert
David Sedaris
Tony Sisti
Eugene Speicher
Elizabeth Swados
Dorothy Thompson
Louis Comfort Tiffany
Tom Toles
Israel Tsvaygenbaum
Mark Twain
Andrew Vachss
Richard A. Waite
J. Alden Weir
Edith Wharton
Walt Whitman
Brian Williams
John Zogby
Richard Axel
Gertrude B. Elion
Carl Sagan
Jonas Salk
Kareem Abdul-Jabbar
Moe Berg
Sue Bird
Andrulla Blanchette
Andy Bloom 
Laura Creavalle
Lisa Cross
Al Davis 
Shay Doron
Julius Erving
Mick Foley
Whitey Ford
John Franco
Lou Gehrig
Sid Gordon
Hank Greenberg
Jon Jones 
Seymour H. Knox III
Sandy Koufax
Scott Lipsky
Boyd Melson
Joe Nathan
Eric Nystrom
Beth Phoenix
A. J. Pierzynski
Lipman Pike
Alex Rodriguez
Carl Yastrzemski
David Berkowitz
Robert Garrow
Eric Harris and Dylan Klebold
Timothy McVeigh
Theodore Rinaldo
Jimmy Walker
Shirley Winters
Kumiki Gibson
Ruth Bader Ginsburg
John Jay
Elena Kagan
John G. Roberts
Antonin Scalia
Sonia Sotomayor
Avraham Qanai
Lina Beecher
Grace Brown
Mary Therese Friel
Wilson Greatbatch
Harry Houdini
Kimberly Pressler
Margaret Sanger
Richard Stallman
Josephine Terranova
Category:People from New York
Category:Use mdy dates from September 2011
Category:Articles needing additional references from May 2010
Category:All articles needing additional references
Category:Incomplete lists from April 2012
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
