William Blount
Erskine Bowles
William G. Boykin
Braxton Bragg
Jim Broyhill
James H. Burnley IV
Robert Byrd
Julius L. Chambers
Levi Coffin
Josephus Daniels
William Dodd 
Elizabeth Dole
Charlie Duke
Sam Ervin
Charles A. Gabriel
Richard Jordan Gatling
The Greensboro Four
John H. Hager
Caleb V. Haynes
Jesse Helms
James Pinckney Henderson
James B. Hunt
Andrew Jackson
Andrew Johnson
Joseph Lane
Dolley Madison
Daniel McFadden
Walter Hines Page
James K. Polk
Hiram Revels
Hugh Shelton
Edward Snowden
Richard Dobbs Spaight
Robert F. Williams
John L. Adams
Sidney Blackmer
Randy Boone
Doug Brochu
Ben Browder
Jim David
Cecil B. DeMille
Tom DiCillo
Jennifer Ehle
Mike Evans 
Penny Fuller
Mark Freiburger
Zach Galifianakis
Leo Gallagher
Ava Gardner
Kathryn Grayson
Pam Grier
Nikki Griffin
Rhoda Griffis
Andy Griffith
George Grizzard
Julianna Guill
Jester Hairston
Michael C. Hall
Murray Hamilton
Jeff Hardy
Matt Hardy
Shirley Hemphill
Jackee Harry
Molly Haskell
Gregory Helms
Ed Hinton 
Edwin Hodge
Gill Holland
Skip Hollandsworth
Laurel Holloman
Brian Huskey
Earle Hyman
Burgess Jenkins
Ken Jeong
Star Jones
Darwin Joston
Allyn King
Tim Kirkman
Sharon Lawrence
Beth Leavel
Chyler Leigh
Barbara Loden
Scotty McCreery
James McEachin
Vince McMahon
Jane McNeill
Robert Duncan McNeill
Eddie Mills
Rogelio Mills
Julianne Moore
Shannon Moore
Anita Morris
Anna Mercedes Morris
Laura Moss
Mike Muscat
John Haymes Newton
Lee Norris
Jaime Pressly
Emily Proctor
Jim Rash
Peyton Reed
Jon Reep
Nina Repeta
Tequan Richmond
Britt Robertson
Marcy Rylan
Soupy Sales
Christoph Sanders
Paul Schneider 
Judith Scott 
Nick Searcy
Matthew Settle
J. B. Smoove
"Arthur ""Guitar Boogie"" Smith"
Margo Stilley
Skeet Ulrich
Liz Vassey
Reginald VelJohnson
Ben Vereen
Jill Wagner
Gregory Walcott
James Harvey Ward
Kevin Williamson 
Mary Elizabeth Winstead
Evan Rachel Wood
Bellamy Young
Brad Yoder 
Seth Avett
Scott Avett
Ryan Adams
Clay Aiken
Doug Aldrich
Gerald Alston
Tori Amos
Sunshine Anderson
Nicholas William Bailey
Bessie Banks
Warren Barfield
Maria Howell
Fantasia Barrino
Riley Baugus
Alicia Bridges
Chuck Brown
Shirley Caesar
Jason Michael Carroll
Spencer Chamberlain
Eric Church
George Clinton 
John Coltrane
David L. Cook
J. Cole
Elizabeth Cotten
Bucky Covington
Charlie Daniels
Chris Daughtry
Tommy DeCarlo
9th Wonder
Jermaine Dupri
Mitch Easter
Donna Fargo
Roberta Flack
Ben Folds
Blind Boy Fuller
Alfreda Gerald
Don Gibson
Andy Griffith
K-Ci & JoJo
Anthony Hamilton 
Wilbert Harrison
Warren Haynes
Jimmy Herring
Byron Hill
Michael Houser
Stonewall Jackson 
Randy Jones 
Cheyenne Kimball
Ben E. King
Jim Lauderdale
Alesana
Del McCoury
Scotty McCreery
Ronnie Milsap
Dave Moody
Thelonious Monk
The-Dream
Oliver 
Petey Pablo
Maceo Parker
Kellie Pickler
Joseph Poole
Neil Pope
Calvin Richardson
Max Roach
Porter Robinson
Earl Scruggs
William Self 
Nina Simone
"Arthur ""Guitar Boogie"" Smith"
Supastition
James Taylor
Randy Travis
Loudon Wainwright III
Doc Watson
Link Wray
George Younce
David Brinkley
Sharon Dahlonega Raiford Bush
Howard Cosell
Josephus Daniels
David Gergen
Al Hunt
Carl Kassel
Charles Kuralt
Jennifer Loven
Edward R. Murrow
Charlie Rose
Vermont C. Royster
Stuart Scott
Wilbert Tatum
Elson Floyd
Burl Noggle
Charles Alston
Ernie Barnes
Romare Bearden
John T. Biggers
Selma Burke
Betsy Byars
Fred Chappell
Ellis Credle
Sarah Dessen
Thomas Dixon
Pamela Duncan 
John Ehle
Minnie Evans
Charles Frazier
Kaye Gibbons
Herb Jackson
Paul Green 
Jim Grimsley
Harvey Littleton
John Littleton
Margaret Maron
Kenneth Noland
William Sydney Porter
Tom Robbins
Nicholas Sparks 
Theodore Taylor 
Timothy Tyson
John Littleton and Kate Vogel
Thomas Wolfe
Dustin Ackley
Sam Aiken
Keenan Allen
James Anderson 
Chris Archer
Darrell Armstrong
J. J. Arrington
Scott Bankhead
Billy Ray Barnes
Brian Barnes 
Henry Bibby
Walt Bellamy
Stephen Bowen 
Hal Bradley
Louis Breeden
Andre Brown 
Madison Bumgarner
Crezdon Butler
Brian Canter
Bruce Carter 
Carter Capps
Joey Cheek
Lonnie Chisenhall
Dwight Clark
Jim Cleamons
Tony Cloninger
Jonathan Cooper
Terrance Copper
Alge Crumpler
Chris Culliver
Kenwin Cummings
Aaron Curry 
Stephen Curry 
Brad Daugherty 
Walter Davis 
Matt Dodge
Dale Earnhardt
Dale Earnhardt
Brad Edwards 
Dannell Ellerbe
Vince Evans
Rick Ferrell
Perry Fewell
Phil Ford 
Roman Gabriel
Omar Gaither
Harry Gant
David Garrard
Kenny Gattison
Alvin Gentry
Joe Gibbs
Marcus Gilchrist
Mark Grace
Jimmy Graham
Bill Haas
Chris Hairston
Josh Hamilton 
Dee Hardison
Matt Harrison 
William Hayes 
Brendan Haywood
Andy Headen
Madison Hedgecock
Tommy Helms
Sterling Hitchcock
Greg Holland 
DeVonte Holloman
Torry Holt
Brad Hoover
Joe Horn
Josh Howard
Jason Hunter 
Catfish Hunter
Mark Ingram
John Isner
Bobby Jackson 
Dale Jarrett
Ned Jarrett
Glenn Jarrett
Junior Johnson
Marc Johnson 
Sam Jones 
Michael Jordan
Sonny Jurgensen
Clyde King
Mike LaValliere
Vonta Leach
Meadowlark Lemon
Sugar Ray Leonard
Buck Leonard
Greg Little 
Sean Locklear
Davis Love III
Calvin Lowry
Bob Mann 
Mohamed Massaquoi
J. B. Mauney
Cameron Maybin
Eric Maynor
Bob McAdoo
Vince McMahon
Nate McMillan
David Merritt 
Kevin Millwood
Wilmer Mizell
Arthur Moats
Brian Moehler
Scottie Montgomery
Joe Morris 
Anthony Morrow
Wil Myers
Hakeem Nicks
Willie Parker
Chris Paul
Julius Peppers
Gaylord Perry
Greg Peterson 
Lee Petty
Richard Petty
Jennifer Pharr Davis
Brandon Phillips
Landon Powell
Mike Quick
Jeff Reed 
Mary Reynolds 
Brian Roberts
Lee Rouson
Kelvin Sampson
Kyle Seager
Razor Shines
Enos Slaughter
Terrmel Sledge
D. J. Smith 
Brandon Spikes
Jerry Stackhouse
Melvin Stewart
Hal Stowe
Ryan Succop
Brett Swain 
John Swofford
Ray Tanner
Brandon Tate
Ryan Taylor 
Cam Thomas
David Thompson 
Leigh Torrence
Norv Turner
Hassan Whiteside
Brian Vickers
Fred Vinson 
Adam Warren 
Greg Warren 
Josh Whitesell
Chris Wilcox
Hoyt Wilhelm
Damien Wilkins
Brian Williams 
Buck Williams
Mario Williams
Perry Williams 
Roy Williams 
C. J. Wilson 
James Worthy
Ryan Zimmerman
Alex White 
Johnny White 
Sean Locklear
Ernest Angley
Caleb Bradham
Fred Brooks
Eliza Bryant
Judy Clarke
John Cocke
Chelsea Cooley
Wade Crane
Virginia Dare
Richard Jordan Gatling
Billy Graham
Jay U. Gunter
Kelly King
Anne Graham Lotz
Dan McGalliard
Benjamin Chavis Muhammad
James W. Owens
Erica Payne
Conrad Reed
Afeni Shakur
David A. Smith 
Thomas Sowell
Maya Angelou
Joseph Bathanti
Frances Bavier
Marshall Brain
Chang and Eng Bunker
Orson Scott Card
Allison Hedge Coke
John Edwards
Ric Flair
Robert Wilkie
John Hope Franklin
Harry Golden
Alex Grant 
Bob Havens
Joseph Hewes
Samantha Holvey
Michael Jordan
Si Kahn
Mike Krzyzewski
William Lenoir 
Michael Peterson 
Tom Regan
Kathy Reichs
Tony Rice
Eric Rudolph
Randolph Scott
Dean Smith
Lee Smith 
Josef Sommer
Nicholas Sparks 
Jessica Stroup
Blackbeard
John Tesh
George Washington Vanderbilt II
Daniel Wallace 
Harry Anderson
Hugh Williamson
Brittany York
Daniel Boone
Sandra Bullock
Nick Cannon
Chris Canty 
Perry Como
Dan Cortese
Joey Dorsey
Fred Durst
Lawrence Ferlinghetti
Mark Freiburger
Mia Hamm
Brendan Haywood
Jesse Jackson
Antawn Jamison
Marion Jones
David Lynch
Pete Maravich
Armistead Maupin
Khalid Sheikh Mohammed
Sio Moore
Frankie Muniz
Richard Nixon
Arnold Palmer
Mary-Louise Parker
Missi Pyle
Philip Rivers
Amy Sedaris
David Sedaris
Jada Pinkett Smith
Lawrence Taylor
Kristi Yamaguchi
Category:People from North Carolina
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
