Jennifer Baumgardner
Carmen Berg
Leslie Bibb
Elizabeth Bodine
Brooks Bollinger
Marcus Borg
Jeff Boschee
Paula Broadwell
Dale Brown 
Tom Brosseau
James F. Buchli
Quentin N. Burdick
Sam Childers
Warren Christopher
Alf Clausen
Chris Coste
Ronnie Cramer
Angie Dickinson
Josh Duhamel
James M. Edie
Richard Edlund
Carl Ben Eielson
CariDee English
Darin Erstad
Joe Clifford Faust
Michael Forest
Hans Andersen Foss
Sally Fraser
Phyllis Frelich
William H. Gass
James Getzlaff
Travis Hafner
Gulbrand Hagen
Patrick E. Haggerty
Monica Hannan
Phil Hansen 
Beverly Hanson
Tom Hatten
Rick Helling
Kam Heskin
Virgil Hill
Christopher Michael Holley
Jeremy Horst
Ken Hunt 
Phil Jackson
Dr. Leon O. Jacobson
Robert Jensen
Gary Johnson
Harold K. Johnson
Tim Johnson 
David C. Jones
Gordon Kahl
Rich Karlgaard
Woodrow W. Keeble
Jim Kleinsasser
Chuck Klosterman
Wiz Khalifa
Dagny Knutson
Charlie Korsmo
Louis L'Amour
Jonny Lang
Peggy Lee
William Lemke
Nicole Linkletter
Matt Lowe
Kellan Lutz
Rosemary Landsberger 
Jan Maxwell
Kevin Miller 
Marquis de Mores
Debra Mooney
Roger Maris
Steve Nelson 
Gerhard Brandt Naeseth
Sondre Norheim
Lute Olson
Casper Oimoen
Dr. Carleton Opgaard
Leonard Peltier
Arthur Peterson
Neal Peterson
Aagot Raaen
Erik Ramstad
Tom Rapp
Greg Raymer
Clint Ritchie
Alan Ritchson
James Rosenquist
Sacagawea
Ed Schafer
Harold Schafer
Donny Schatz
Ed Schultz
Gary Serum
Eric Sevareid
Timm Sharp
Michael Soltis
Ann Sothern
Richard St. Clair
Rodney Stark
Leslie Stefanson
Shadoe Stevens
Clyfford Still
Dorothy Stickney
Era Bell Thompson
Chris Tuchscherer
Bobby Vee
Harley Venton
Matthew Ward 
Mimi Weddell
Lawrence Welk
Gabby West
Natalie West
Larry Woiwode
Category:People from North Dakota
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
