Gerry Adams
Willie Anderson 
Two Door Cinema Club
Colin Bateman
David Bates 
John Stewart Bell
Jocelyn Bell Burnell
George Best
Colin Blakely
Danny Blanchflower
Christine Bleakley
Kenneth Branagh
Adam Brown
Jake Burns
Amanda Burton
Vivian Campbell
Peter Canavan
Adam Carroll
Ciarán Carson
Darren Clarke
Tim Collins 
Phil Coulter
Nadine Coyle
Brian Donlevy
Jamie Dornan
Adrian Dunbar
Joey Dunlop
Garth Ennis
Jonny Evans
St. John Greer Ervine
Fra Fee
Dave Finlay
Brian Friel
James Galway
Mike Gibson 
Two Door Cinema Club
David Healy 
Seamus Heaney
Paul Henry 
Alex Higgins
Ciarán Hinds
David Holmes 
Eamonn Holmes
John Hume
David Humphreys 
Eddie Irvine
Pat Jennings
Jimeoin
Brian Kennedy 
Patrick Kielty
Kyle Lafferty
Joseph Larmor
John Lavery
Neil Lennon
C. S. Lewis
Helen Lewis
Gary Lightbody
Bernard MacLaverty
Derek Mahon
Paula Malcomson
Linda Martin
Brian Mawhinney
Paddy Mayne
Mary McAleese
Willie John McBride
Graeme McDowell
Damian McGinty
Alister McGrath
Medbh McGuckian
Rory McIlroy
Peter McParland
Gerard McSorley
Ian Mitchell 
Brian Moore 
Gary Moore
Colin Morgan
Van Morrison
Colin Murray
Liam Neeson
Sam Neill
James Nesbitt
Martin O'Neill
Ian Paisley
Glenn Patterson
Mary Peters 
William Pirrie
Ronan Rafferty
Stephen Rea
Brendan Rodgers
Zöe Salmon
Dean Shiels
Victor Sloan
Michael Smiley
Dennis Taylor
Two Door Cinema Club
Juliet Turner
Norman Whiteside
Category:Articles lacking sources from September 2013
Category:All articles lacking sources
Category:Dynamic lists
Category:Articles with links needing disambiguation from April 2014
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
