Brock Adams
Robert H. Adleman
Danny Ainge
Erik Ainge
Goli Ameri
David Anders
Larry Andersen
Bruce Anderson 
Derek Anderson 
Scott Anderson 
Andy Andrist
James E. Atwater
Montgomery Atwater
Jean M. Auel
Thomas J. Autzen
Charlie Babb 
Wally Backman
Preston Bailey
Brian Bain
Carl Barks
Rex T. Barber
Jeffrey Barry
Scott Beach
James Beard
Josh Bidwell
Sheila Bleck
Lynette Boggs
Kevin Boss
Chris Botti
Grayson Boucher
Bill Bowerman
Matt Braunger
Ronnie Brewer
Scott Brosius
Brian Bruney
Edgar Buchanan
Jamie Burke
Ty Burrell
Brian Burres
Bruce Campbell
Raymond Carver
Jeff Charleston
Janet Chvatal
Beverly Cleary
Chief Joseph
Kellen Clemens
Chad Cota
Pinto Colvig
Barbara Coombs Lee
Robert O. Cornthwaite
Trevor Crowe
Ann Curry
George Dantzig
David DeCoteau
Richard Diebenkorn
Sho Dozono
Mindy Duncan
Mike Dunleavy
Robert Eakin
Randall Edwards 
Chandler Egan
Mike Ekstrom
Sam Elliott
Jacoby Ellsbury
Harris Ellsworth
Douglas Engelbart
Marie Equi
Neil Everett
Tom Everett
Chris Eyre
Tami Farrell
Mark Few
Todd Field
David Fincher
George Buck Flower
Sally Flynn
Dick Fosbury
Harriet Frank
Alex Frost
Maggie Gallagher
Dan Gauthier
Alfred Carlton Gilbert
Neil Goldschmidt
Alex Green
Scott Gragg
Kevin Gregg
Matt Groening
Jeremy Guthrie
Page Hamilton
Tonya Harding
Katie Harman
Gregory Harrison
Mark Hatfield
Scott Hatteberg
John Haughm
Jon Heder
Margaux Hemingway
Bobby Henderson 
Howard Hesseman
D.K. Holm
Herbert Hoover
Terri Irwin
June Jones
Mat Kearney
Scott Kelly 
Ken Kesey
Kip Kinkel
Justin Kirk
John Kitzhaber
Phil Knight
Tonya Knight
Jon Krakauer
Winona LaDuke
Alicia Lagano
Frances Moore Lappé
Lars Larson
Ursula K. Le Guin
Leonard Levy
Rian Lindell
Jon Lindstrom
Courtney Love
Kevin Love
The Wack Pack
Jed Lowrie
Michael Lowry 
Ranald MacDonald
Holly Madison
Larry Mahan
Donald Malarkey
Bridget Marquardt
Jeron Mastrud
Tom McCall
Charles McNary
Pat McQuistan
Charis Michelsen
Quintin Mikell
Bob Mionske
Geoffrey Moore
Joel Moore
Macy Morse
Dale Murphy
Brent Musburger
Kaitlin Olsen
Jeff Olson 
Legedu Naanee
Bob Packwood
Chuck Palahniuk
Mark Parent 
Linus Pauling
Bill Pearl
Alfred Peet
Jack Pennick
Tom Peterson
Kim Peyton
Julianne Phillips
River Phoenix
Mitch Pileggi
Elias Porter
Jane Powell
Steve Prefontaine
Bobby Preston
Ahmad Rashād
Johnnie Ray
Susan Raye
John Reed 
Holiday Reinhorn
Harold Reynolds
Kim Rhodes
Mike Rich
Mike Riley
Lisa Rinna
Aaron Rowand
Ad Rutschman
Mendel Sachs
Katee Sackhoff
Curtis Salgado
Rebecca Schaeffer
Sonny Sixkiller
Matt Slauson
Elliott Smith
Chael Sonnen
Esperanza Spalding
Erik Spoelstra
David Ogden Stiers
Eric A. Stillwell
Robert W. Straub
Sally Struthers
Drew Struzan
Ndamukong Suh
Jack Tafari
Maria Thayer
Tommy Thayer
Kevin Towers
Corin Tucker
Ime Udoka
Sara Jean Underwood
Laura Veirs
Will Vinton
Lindsay Wagner
Don Wakamatsu
Neale Donald Walsch
Don Walsh
Craig Wasson
Bob Welch 
Dave Wiegand
Carl Wieman
Craig Hollywood
Edy Williams
Mitch Williams 
Bridgette Wilson
Anthony Wynn
John Zerzan
Category:People from Oregon
Category:Oregon-related lists
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
