Gerald Anthony
Val Avery
Kevin Bacon
Carroll Baker
Vince Barnett
Ethel Barrymore
John Barrymore
Lionel Barrymore
Jayce Bartok
Billy Barty
Blake Bashoff
Alan Beckwith
Beth Behrs
Maria Bello
Julie Benz
Edward Binns
Larry Bishop
Janet Blair
Billy Blanks
Marc Blucas
Walter Bobbie
David Boreanaz
Christian Bowman
Jim Boyd 
Peter Boyle
Laura Breckenridge
David Brenner
Al Bridge
Fran Brill
Charles Bronson
Robert Curtis Brown
Andrew Bryniarski
Steve Burns
Clarissa Burt
Eugene Byrd
Alexandra Chando
Kitty Chen
Dennis Christopher
Brian Patrick Clarke
Caitlin Clarke
Lauren Cohan
Jack Coleman 
Marc Connelly
Michael Constantine
Josh Cooke
Bradley Cooper
Ellen Corby
Bill Cosby
Broderick Crawford
Michael Cornacchia
Dolores Costello
Maurice Costello
Erin Cottrell
Rebecca Creskoff
Pat Crowley
Jon Daly 
John Davidson 
Ann B. Davis
Bruce Davison
John de Lancie
Kim Delaney
Benicio del Toro
Kat Dennings
Patti Deutsch
Devon 
Mia Dillon
Jack Dodson
John Doman
Heather Donahue
Omar Doom
Ellen Albertini Dow
Lisa Eichhorn
Lisa Emery
Chip Esten
Barbara Feldon
Tina Fey
W.C. Fields
Larry Fine
Bette Ford
Meg Foster
Matthew Fox 
Jonathan Frakes
Martin Gabel
Megan Gallagher
Kyle Gallner
Rita Gam
Billy Gardell
Janet Gaynor
Deborah Geffner
Richard Gere
Ileen Getz
Todd Glass
Scott Glenn
Jeff Goldblum
Eve Gordon
Frank Gorshin
Seth Green
Charles Grodin
Jonathan Groff
Kevin Peter Hall
Charles Hallahan
Veronica Hamel
Kevin Hart 
Tim Heidecker
Sherman Hemsley
Gillian Jacobs
Anthony Jeselnik
Cherie Johnson
Clark Johnson
Russell Johnson
Johnny Jolin
Angela Jones
Shirley Jones
Mario Joyner
James Karen
Tim Kazurinsky
Michael Keaton
Sheila Kelley 
Gene Kelly
Grace Kelly
Jamie Kennedy
Rya Kihlstedt
Daniel Dae Kim
Taylor Kinney
Jack Klugman
Harley Jane Kozak
Jack Krizmanich
Liz Larsen
Andrew Lawrence 
Joshua Leonard
Richard LeParmentier
David Lewis 
Gilbert Lewis 
Jonathan Loughran
Beverly Lynne
Aline MacMahon
Jeanette MacDonald
Jayne Mansfield
Bam Margera
Mark Margolis
Hugh Marlowe
Adoni Maropis
Joe Maross
Lynne Marta
Al Martino
Mark Matkevich
Elaine May
Melanie Mayron
Mitzi McCall
Paul McCrane
Mary McDonnell
Rob McElhenney
Kate McNeil
Larry Mendte
Adolphe Menjou
Charles Meredith 
Mary Lou Metzger
James A Michener
Kate Micucci
Vic Mignogna
Dennis Miller
Jason Miller 
Lara Jill Miller
Kristin Minter
Cameron Mitchell 
Tom Mix
Kelly Monaco
Pink 
Jillian Murray
Kelly Neal
Irene Ng 
Gregory Nicotero
J.J. North
Cheri Oteri
Jerry Orbach
Beth Ostrosky
Jack Palance
Stuart Pankin
Sydney Park 
Adrian Pasdar
Steven Pasquale
Michele Pawk
Pamela Payton-Wright
Kelly Perine
Robert Picardo
Joel Polis
Jon Polito
William Powell
Robert Prosky
Zachary Quinto
James Rebhorn
Krysten Ritter
Erica Rivera
Daniel Roebuck
Fred Rogers
George A. Romero
Norman Rose
Zelda Rubinstein
Herbert Rudley
Bob Saget
Diane Salinger
Richard Sanders 
Tom Savini
Jennifer Sciole
Lizabeth Scott
David O. Selznick
Amanda Seyfried
Craig Sheffer
M. Night Shyamalan
Penny Singleton
Emil Sitka
Jonathan Slavin
Kerr Smith
Will Smith
Dana Snyder
Timothy Stack
Robert Sterling
James Stewart
Sharon Stone
Joseph Sweeney 
Christine Taylor
Holland Taylor
Teller 
Mary Testa
Jonathan Taylor Thomas
Paul F. Tompkins
William Tracy
Tom Verica
Mike Vogel
Brendon Walsh
Lisa Waltz
Eric Wareheim
Fritz Weaver
Michael Willis
Thomas F. Wilson
Danny Woodburn
Chris Young 
Winter Ave Zoli
Alice Aycock
Paul Bartholomew
Cecilia Beaux
Alexander Calder
Mary Cassatt
George Catlin
Stuart Davis 
Charles Demuth
Steve Ditko
Thomas Eakins
William Glackens
Keith Haring
Jerry Harris
Mike Hawthorne
William Stanley Haseltine
Martin Johnson Heade
Franz Kline
Jeff Koons
Thaddeus Mosley
Alice Neel
Violet Oakley
Maxfield Parrish
Philip Pearlstein
Joseph Pennell
Man Ray
Charles Sheeler
Grover Simcox
John French Sloan
Gary Mark Smith
Jeff Smith 
Kate Vrijmoet
Andy Warhol
Neil Welliver
Andrew Wyeth
Jamie Wyeth
N.C. Wyeth
Bunny Yeager
Guion S. Bluford
Pete Conrad
Michael Fincke
James Irwin
Glynn Lunney
David Medved
Paul W. Richards
Theodore Freeman
Patricia Hilliard Robertson
Paul J. Weitz
John Abramovic
Matt Adams
Herb Adderley
Rubén Amaro
Joe Amato 
John Andretti
Marco Andretti
Michael Andretti
Kurt Angle
Paul Arizin
LaVar Arrington
Bob Babich 
Kayla Bashore
Ralph Baker
Charlie Batch
William Beatty 
Aaron Beasley
Joe Beimel
Stan Belinda
Brad Benson
Fred Biletnikoff
Steve Bilko
Steve Blackman
DeJuan Blair
George Blanda
Sam Bowie
Jerry Boyarsky
Kyle Brady
Sid Bream
Steve Breaston
Tom Brookens
Gary Brown 
John Brown 
Scott Brunner 
Kobe Bryant
Taylor Buchholz
Marc Bulger
Leroy Burrell
Rasual Butler
Alex Cabrera
Ray Caldwell
John Calipari
Roy Campanella
John Cappelletti
P. J. Carlesimo
Pete Carril
Matt Carroll 
Len Chappell
Wilt Chamberlain
Barry Church
Nestor Chylak
Bruce Clark 
Colby Cohen
Maddy Crippen
Fran Crippen
Tom Clements
Joe Collins
Kerry Collins
Marques Colston
Dan Conners
Dan Connor 
Mike Costanzo
Jim Covert
Bill Cowher
Billy Cox
Mike Cox 
Russ Canzler
Channing Crowder
Chuck Daly
Bob Davie 
Ernie Davis
Phil Davis 
Darrell Dess
Dorin Dickerson
Keir Dillon
Mike Ditka
Tim Donaghy
Keith Dorney
Tony Dorsett
Forrest Douds
Shane Douglas
Jeff Dugan
Pete Duranko
Jimmy Dykes
Kyle Eckel
Al Babartsky
Wayne Ellington
Cody Eppley
Jahri Evans
Tyreke Evans
Tim Federowicz
Bill Ferrario
Randy Fichtner
Frank Filchock
Pat Flaherty 
Tom Flynn 
Nellie Fox
Terry Francona
Tito Francona
Buck Freeman
Gus Frerotte
Jim Furyk
Rich Gannon
Ryan Garko
Jason Garrett
John Garrett 
Eddie George
Sean Gilbert
Tom Gola
Robbie Gould
Bruce Gradkowski
Gino Gradkowski
Aaron Gray
Al Gionfriddo
Ken Griffey
Ken Griffey
Russ Grimm
Dick Groat
Randy Grossman
Billy Kidman
Brandon Guyer
Jack Ham
Richard Hamilton 
Marvin Harrison
Brendan Hansen
Leon Hart
Jim Haslett
Andrew Hawkins
Artrell Hawkins
Chris Heisey
Gerald Henderson
Chad Henne
Tom Herr
Mark Herzlich
Eric Hicks 
Shawn Hillegas
Al Holbert
Larry Holmes
J. J. Hoover
Bernard Hopkins
Jeff Hostetler
Art Howe
Henry Hynoski
Gene Huey
Jerald Ingram
Qadry Ismail
Raghib Ismail
Marc Jackson
Marlin Jackson
Reggie Jackson
Brook Jacoby
Hughie Jennings
Larry Johnson 
Eddie Jones 
Kevin Jones 
George Karl
Don Kelly 
Jim Kelly
Pat Kelly 
Ray Kemp
Ethan Kilmer
Bucko Kilroy
Betsy King
Steve Kline 
Dan Koppen
Josh Koscheck
Kristy Kowal
Bruce Kozerski
Erik Kratz
John Kuhn
Floyd Landis
Tom Lasorda
Ty Law
Sean Lee
Chad Levitt
Grant Lewis
Ralph Lewis 
Kyle Lowry
Maurice Lucas
Johnny Lujack
Joe Maddon
Bam Margera
Ryan Malone
Greg Manusky
Pete Maravich
Dan Marino
Brandon Marshall
Donyell Marshall
Tim Masthay
Christy Mathewson
Michael R. Matz
Pat McAfee
Ed McCaffrey
Joe McCarthy 
Mike McCarthy 
John McDermott 
Jameel McClain
LeSean McCoy
Mike McCoy 
Muffet McGraw
Aaron Mckie
Josephine McKim
Rocco Mediate
Devin Mesoraco
Lou Michaels
Walt Michaels
Matt Millen
Eric Milton
Cuttino Mobley
Earl Monroe
Joe Montana
Charles Morgan 
Lenny Moore
Michael Moorer
Marcus Morris 
Markieff Morris
Mercury Morris
Jamie Moyer
Terry Mulholland
Mike Munchak
Ryan Mundy
James Mungro
Flip Murray
Stan Musial
Mike Mussina
Joe Namath
Ryan Nassib
Jameer Nelson
Lucas Nix
Marty Nothstein
Jared Odrick
Bo Orlando
Kit Osbourne
Doug Overton
Billy Owens
Arnold Palmer
Cory Patterson
George Parros
Corey Peters
Mike Piazza
Bernard Pierce
Jason Pinkston
Lousaka Polite
Paul Posluszny
Abner Charles Powell
Terrelle Pryor
Justin Pugh
Andre Reed
Frank Reich
Nolan Reimold
Nicole Reinhart
Darrelle Revis
Mike Richter
Jon Ritchie
Malik Rose
Tim Ruddy
Matt Ryan
John Salmons
Bob Sanders
Bruno Sammartino
Jerry Sandusky
Carl Sawatski
Matt Schaub
Marty Schottenheimer
Brian Schneider
Mike Scioscia
Da'Rel Scott
Vic Seixas
Mustafa Shakur
Bobby Shantz
Jean Shiley
Dick Shiner
Greg Skrepenak
Steve Slaton
Kevin Slowey
Musa Smith
Gene Snitsky
Jimmy Spencer
Shawntae Spencer
Eddie Stanky
Larod Stephens-Howling
Mark Stepnoski
Tony Stewart 
Joe Stydahar
Matt Suhey
Bob Sura
Bruce Sutter
Chuck Tanner
Jason Taylor 
Walter Tewksbury
Jaimie Thomas
Myles Thomas
Carol Semple Thompson
Jim Thorpe
Charley Trippi
Wallace Triplett
Bob Tucker 
Emlen Tunnell
R.J. Umberger
Johnny Unitas
Honus Wagner
Neil Walker 
Art Wall
Rasheed Wallace
Ed Walsh
Joe Walton
Hakim Warrick
Kenny Watson
Ricky Watters
Reggie Wells
Randy White 
Brian Williams 
Josh Wilson 
Kris Wilson 
Coy Wire
Stefen Wisniewski
Lee Woodall
Tom Woodeshick
John Woodruff
Frank Wycheck
Edward Abbey
Louisa May Alcott
Lloyd Alexander
Poul Anderson
Janet Asimov
Donald Barthelme
John Batchelor
Ben Bova
Pearl S. Buck
Charles Brockden Brown
Bebe Moore Campbell
Rachel Carson
Stephen Chbosky
Marc Connelly
Margaret Deland
Annie Dillard
H.D.
Tristan Egolf
Nancy Friday
David Fulmer
Todd Gallagher
Walter B. Gibson
Oscar Hammerstein II
Kristin Hunter
Dean Koontz
John D. MacDonald
Henry Meyer
James A. Michener
James Morrow
Lance Morrow
John O'Hara
Ralph Peters
Robert W. Peterson 
Darryl Ponicsan
Ezra Pound
Conrad Richter
Mary Rinehart
Lisa Scottoline
Sara Shepard
Martin Cruz Smith
Jerry Spinelli
Jerry Stahl
Gertrude Stein
Gerald Stern
Wallace Stevens
Ida Tarbell
John Updike
Judith Vollmer
Lauren Weisberger
John Edgar Wideman
Marianne Wiggins
August Wilson
Owen Wister
Calvin Ziegler
Robert T. Jeschonek
Scott Aaronson
John Backus
David A. Bader
Brendan Eich
Martin Charles Golumbic
Emil Grosswald
Chad Hurley
Alan Kotok
Michael L. Littman
Alan Perlis
Hilary Putnam
Jeffrey Shallit
Paul R. Ehrlich
Inky Moore
Joseph Rothrock
Major Israel McCreight
Mumia Abu-Jamal
George Banks
Richard Baumhammers
Angelo Bruno
Mickey Duffy
Ira Einhorn
Caleb Fairley
Kermit Gosnell
Gary M. Heidnik
Eddie James
Joseph Kallinger
Timothy Krajcir
Alec Devon Kreider
Charles Carl Roberts
Jerry Sandusky
Sundance Kid
Derek Bok
Harold W. Dodds
C. Clement French
John W. Heston
Noel Ignatiev
Philip Morrison
James Henry Carpenter
Edgar Cortright
William C. Davis
Henry Deringer
J. Presper Eckert
Jesse Fell
Matthias N. Forney
Daniel French 
Robert Fulton
Frank Hastings Griffin
George H. Heilmeier
John Kanzius
Thomas Midgley
Alan Pritsker
Henry Miller Shreve
Jacob Snider
Frederick Winslow Taylor
William Hultz Walker
Nathaniel Wyeth 
John Aglialoro
Steve Bisciotti
Mary Boone
Amar Bose
Andrew Carnegie
Kayla Collins
Milton S. Hershey
Alfred Hunt 
Lee Iacocca
Bennett S. LeBow
David Montgomery 
Robert Nardelli
Amedeo Obici
Asa Packer
Brian L. Roberts
Art Rooney
Art Rooney II
Jerry Wolman
Richard Mellon Scaife
Charles M. Schwab
James Sinegal
Jeffrey Skilling
Jim Stamatis
M. K. Asante
Joe Augustyn
Donald P. Bellisario
Shane Black
Richard Brooks
Chris Columbus 
Rusty Cundieff
