Angela Aames
Catherine Bach
Bruce Baillie
Rachael Bella
Shannon Bolin
Moses Brings Plenty
Christopher Cain
Leslie Carlson
Harvey B. Dunn
Judith Evelyn
Amy Hill
Candace Hilligoss
Ron Holgate
January Jones
Cheryl Ladd
Eddie Little Sky
Cliff Lyons 
Beth Maitland
Gail Matthius
Russell Means
John Miljan
Debra Mooney
Gary Owens
Dorothy Provine
Gene Roth
Chic Sale
Eddie Spears
Michael Spears
Michael Steinberg 
Joan Tabor
Delores Taylor
Casey Tibbs
Mamie Van Doren
Jerry verDorn
Alfred L. Werker
John War Eagle
Floyd Red Crow Westerman
Timmy Williams
Harvey Dunn
James Earle Fraser 
Paul Goble
Mary GrandPré
Oscar Howe
Terry Redlin
Dick Termes
Joseph Bottum 
Charles Badger Clark
Allison Hedge Coke
Elizabeth Cook-Lynn
Pete Dexter
David Allan Evans
Joseph Hansen 
Cameron Hawley
Patrick Hicks
Johan Andreas Holvik
Adam Johnson 
Bill Johnson 
Herbert Arthur Krause
Rose Wilder Lane
Gaylord Larsen
Joseph Marshall III
Laura Ingalls Wilder
Gene Amdahl
Al Neuharth
Lee Raymond
Joseph Robbie
Ted Waitt
David C. Jones
Touch the Clouds
Shawn Colvin
Myron Floren
Jess Thomas
Abby Whiteside
Joey Clement
Mark Craney
Zitkala-Sa
Crazy Horse
Russell Means
Maria Pearson
Rain-in-the-Face
Red Cloud
Sitting Bull
Touch the Clouds
Floyd Red Crow Westerman
James Abourezk
Tom Daschle
J. James Exon
Joe Foss
Hubert Humphrey
Bill Janklow
Arthur Larson
George McGovern
Gladys Pyle
Ernest Lawrence
Niels Ebbesen Hansen
Robert H. Burris
Sparky Anderson
James Bausch
Dallas Clark
Dave Collins
Justin Duchscherer
Mark Ellis 
Keith Foulke
Terry Francona
Chad Greenway
Marlene Hagge
Becky Hammon
Clare Jacobs
Jason Kubel
Ward Lambert
Brock Lesnar
Ben Leber
Randy Lewis 
"Clarence ""Pug"" Manders"
Jack Manders
Mike Martz
Derek Miles
Tim Miles
Mike Miller 
Billy Mills
Dale Moss
Eric Piatkowski
Riley Reiff
Jared Reiner
Wilbur Thompson
Norm Van Brocklin
Adam Vinatieri
Bob Barker
Tom Brokaw
Don Fedderson
Mary Hart 
Pat O'Brien 
Gary Owens
Gutzon Borglum
Seth Bullock
K. G. William Dahl
Billy Etbauer
John Hamre
Alvin Hansen
Wild Bill Hickok
Calamity Jane
Frank Leahy
Lawrence Lessig
Vernon C. Miller
William H. Parker 
"James ""Scotty"" Philip"
James Edward Zimmerman
Korczak Ziółkowski
Peter Norbeck
Category:People from South Dakota
Category:South Dakota-related lists
Category:All articles with dead external links
Category:Articles with dead external links from October 2010
Category:Incomplete lists from August 2008
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
