Roy Acuff
Charlie Adams 
Lily Afshar
James Agee
The Aldridge Sisters
Jessi Alexander
Lamar Alexander
Duane Allman
Gregg Allman
Monroe Dunaway Anderson
William Anderson 
Jessica Andrews
Jade Arcade
Lil Hardin Armstrong
Victor Ashe
Chet Atkins
Doug Atkins
Rodney Atkins
DeFord Bailey
Howard Baker
Robert Baker 
George Franklin Barber
Ronnie Barrett
William M. Bass
Kathy Bates
Kate Batts
Robin Beard
Casey Beathard
Brian Bell 
John Bell 
Bill Belichick
Jeff Bennett 
Aaron Benward
Polly Bergen
Joe Blanton
Jerry Blevins
William Blount
Willie Blount
Alexander Bonnyman
Arna Bontemps
Maci Bookout
Pat Boone
Rachel Boston
Charles Boyce
Richard Henry Boyd
Rod Brasfield
Corey Brewer
Clarence Brown
Jonathan Browning
William Gannaway Brownlow
James M. Buchanan
Josh Bullocks
Frances Hodgson Burnett
Morgan Burnett
Kenneth C. Burns
Charles Burson
Jake Butcher
Derrick Byars
Jo Byrns
Matt Cain
Mike Caldwell 
Nikki Caldwell
Duke Calhoun
Archie Campbell
Guy Carawan
Hattie Caraway
Dixie Carter
Kellye Cash
June Carter Cash
Rosanne Cash
David Catching
John Catron
Tracy Caulkins
Benjamin F. Cheatham
Doc Cheatham
Kitty Cheatham
Richard Boone Cheatham
Richard Cheatham
John R. Cherry III
Kenny Chesney
Henry Cho
Tyson Clabo
Philander Claxton
Jim Clayton 
Mark E. Clayton
Frank G. Clement
Chad Clifton
Randall Cobb 
Fred Coe
Michael Coe 
Lynnette Cole
Mark Collie
Dustin Colquitt
Darby Conley
Lester Conner
Morgan Cox
Zack Cozart
James Craig 
Davy Crockett
Dixie Lee
E. H. Crump
John Cullum
Lowell Cunningham
Billy Ray Cyrus
Miley Cyrus
Jeremy Davis
Bill Dedman
Beauford Delaney
George Roby Dempster
James Denton
Dale Dickey
R.A. Dickey
Bobby Dodd
Shannen Doherty
Andrew Jackson Donelson
Aaron Douglas
Josh Drake
Johnny Duncan 
King Dunlap
Justin Townes Earle
Van Epperson
Dan Evins
David Farragut
Josh Farro
Zac Farro
Jerome Felton
Lester Flatt
Ric Flair
Shelby Foote
Harold Ford
Tennessee Ernie Ford
Nathan Bedford Forrest
Abe Fortas
Ramon Foster
Megan Fox
Aretha Franklin
Aubrayo Franklin
Morgan Freeman
Bill Frist
Phillip Fulmer
Marc Gasol
Nikki Giovanni
Guilford Glazer
Ernest William Goodpasture
Ginnifer Goodwin
Al Gore
Albert Gore
Yo Gotti
Lou Graham
Red Grooms
Wayne Haddix
Lucy Hale
Alex Haley
George Hamilton 
Ken Hamlin
W.C. Handy
Anne Haney
Chris Hardwick
Greg Hardy
Bob Harper 
"George ""Two Ton"" Harris"
Phil Harris
Nicole Taylor Hart
Dennis Haskins
James Haslam Jr.
Trenton Hassell
Whit Haydn
Isaac Hayes
Henry D. Haynes
Thomas Hearns
Todd Helton
Christina Hendricks
Elaine Hendrix
Hunter Hillenmeyer
Will Hoge
Charles O. 
Rick Honeycutt
John Jay Hooker
Benjamin Hooks
