Maurice Abravanel
Maude Adams
Florence Ellinwood Allen
Quinn Allman
John Amaechi
Rocky Anderson
David Archuleta
Leonard J. Arrington
Hal Ashby
Simon Bamberger
Lee Barnes
Roseanne Barr
Earl W. Bascom
Bruce Bastian
Zane Beadles
Linda Bement
Robert Foster Bennett
Ezra Taft Benson
Jaime Bergman
Don Bluth
Frank Borzage
Reva Beck Bosone
Shawn Bradley
Stewart Bradley
Juanita Brooks
John Browning
Val A. Browning
John Buck 
Ted Bundy
Nolan Bushnell
Jerry Buss
Ben Cahoon
Mario Capecchi
Orson Scott Card
Neal Cassady
Butch Cassidy
K. C. Clyde
Stephen Covey
Reed Cowan
Melvin A. Cook
Chris Cooley 
Matthew Davis
Laraine Day
Christine M. Durham
Paul W. Draper
David Eccles 
Marriner Eccles
Spencer Eccles
Lily Eskelsen García
Richard Paul Evans
Henry Eyring
Philo Farnsworth
John D. Fitzgerald
John F. Fitzpatrick 
Harvey Fletcher
Brandon Flowers
Jim Fosgate
Jimmer Fredette
Patrick Fugit
John W. Gallivan
Kendall D. Garff
Jake Garn
Anthony Geary
John Gilbert 
Robert W. Gore
Wilbert L. Gore
Heber J. Grant
Riley Griffiths
Tom Green 
Gregg Hale 
Tracy Hall
Jacob Hamblin
Orrin Hatch
Dan Hausel
Stanley Havili
Gary R. Herbert
Jared and Jerusha Hess
Tracy Hickman
Esther Hicks
Joe Hill
Gordon B. Hinckley
Allison Holker
Derek Hough
Jeph Howard
Jon Huntsman
Jon Huntsman
Chelsie Hightower
Brian Ibbott
Daniel C. Jackling
Ken Jennings
Jewel 
Megan Joy
Scott Johnson 
Thomas Kearns
Bryan Kehl
Brett Keisel
David M. Kennedy
Spencer W. Kimball
John F. Kinney
Raymond Knight 
Steve Konowalchuk
Paul Kruger 
Carnell Lake
Paul Langton
Joi Lansing
Mike Leavitt
John D. Lee
Brandon Lyon
Trevor Lewis
Maddox 
Karl Malone
John Willard Marriott
Mark Maryboy
Scott M. Matheson 
Ned Mathews
Bert McCracken
Roger I. McDonough
David O. McKay
James B. McKean
Jim McMahon
Kieth Merrill
Johnny Miller
Larry H. Miller
Gerald R. Molen
Vern Monnett
Thomas S. Monson
Frank Moss 
Barry Mower
Brandon Mull
Jim Nantz
David Neeleman
Haloti Ngata
The Nomads
Claude Nowell
Neon Trees
Dallin H. Oaks
Darcy A. Olsen
Merlin Olsen
Drew Osborne
The Osmonds
Alan Osmond
Donny Osmond
Jimmy Osmond
Marie Osmond
Merrill Osmond
Wayne Osmond
Jay Osmond
Wayne Owens
Dorothy Poynton
Martha Raddatz
Calvin Rampton
Carmen Rasmusen
Dallas Reynolds
Alma Richards
Gary Ridgway
Amanda Righetti
Karl Rove
Kyle Sampson
Brandon Sanderson
Cael Sanderson
Byron Scott 
Brent Scowcroft
Jerry Sloan
Elizabeth Smart 
George Albert Smith
Joseph Fielding Smith
Reed Smoot
Grant Speed
Wallace Stegner
Branden Steineckert
Stanley Smith Stevens
John Stockton
Picabo Street
Bruce Summerhays
Jane Summerhays
George Sutherland
Kelly Sweet
May Swenson
Naufahu Tahi
Mitch Talbot
Christine Teigen
Kip Thorne
Harvey Unga
Olene S. Walker
Tom Wallisch
Sam Walton
John Warnock
Mike Weir
Willie Wilkin
Terry Tempest Williams
Marie Windsor
Mary Elizabeth Winstead
Dave Wolverton
James Woods
Wakara
Brigham Young
Bryan Young 
Loretta Young
Mahonri Young
Steve Young 
David Wright
Charles S. Zane
Michael Zimmerman 
Category:Utah-related lists
Category:People from Utah
Category:Incomplete lists from August 2008
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
