Bert Abbey
Charles Adams 
Charles Kendall Adams
Frederick W. Adams
Sherman Adams
Eric Aho
Charles Augustus Aiken
George Aiken
Ivan Albright
Henry Mills Alden
Ebenezer Allen
Ethan Allen
Fanny Allen
Ira Allen
Jerome Allen 
Julia Alvarez
Trey Anastasio
Piers Anthony
Lemuel H. Arnold
Chester A. Arthur
Warren Austin
Charlotte Ayanna
Mary Azarian
Orville E. Babcock
Edwin Eugene Bagley
Maxine Bahns
Arthur Scott Bailey
Brad Baker
Hosea Ballou
Bradley Barlow
John Barrett 
John L. Barstow
Daric Barton
Lindon Wallace Bates
Alison Bechdel
Fernando C. Beaman
Orson Bean
Johnny Behan
Hiram Bell
H. H. Bennett
Wilson Bentley
Bill W.
Charles E. Billings
Frederick H. Billings
Stephen R. Bissette
Pamela Blair
George Bliss 
Lou Blonger
Aretas Blood
Asa P. Blunt
Tom Bodett
Beatrice Boepple
Chris Bohjalian
Andrew Bowen
Elmer Bowman
Keegan Bradley
Ezra Brainerd
L. Paul Bremer
Richard M. Brewer
Francis Fisher Browne
Orestes Brownson
Pearl S. Buck
T. Garry Buckley
Ted Bundy
James E. Burke
Alex Burnham
Andre Burnham
Forrest Burnham
Steven T. Byington
John C. Caldwell
Thomas Cale
Delino Dexter Calvin
Jim Cantore
Jake Burton Carpenter
Matthew H. Carpenter
Albert Carrington
Hayden Carruth
William B. Castle
Lucien B. Caswell
Suzy Chaffee
Beth Chamberlin
John Putnam Chapin
Welcome Chapman
Arthur Chase
Harrie B. Chase
Horace Chase
Daniel Chipman
Thomas Chittenden
Lucius E. Chittenden
Sylvester Churchill
Joseph A. Citro
Charles Edgar Clark
Kelly Clark
William Bullock Clark
Skiing Cochrans
Richard A. Cody
William Sloane Coffin
Ben Cohen 
Zerah Colburn 
Lui Collins
Ray Collins 
Gardner Quincy Colton
George Colvocoresses
George Partridge Colvocoresses
Jessica Comolli
Thomas Jefferson Conant
George A. Converse
Calvin Coolidge
Barry M. Costello
Douglas M. Costle
Oliver Cowdery
Robert Cowdin
Aaron H. Cragin
Donald J. Cram
Jay Craven
Tim Daly
John Cotton Dana
Jeff Danziger
Thomas Davenport 
Howard Dean
John Deere 
David Dellinger
George Dewey
John Dewey
Julia Caroline Dorr
Stephen A. Douglas
A. E. Douglass
Norman Dubie
Jean Dubuc
William Wade Dudley
Chris Duffy 
Horatio Earle
John Eaton 
Dorman Bridgeman Eaton
Scot Eaton
Eddy Brothers
George F. Edmunds
Merritt A. Edson
Chesselden Ellis
George F. Emmons
Jacob Estey
Jeremiah Evarts
Franklin Fairbanks
William Fairfield
John C. Farrar
Thomas Green Fessenden
Young Firpo
Dorothy Canfield Fisher
Robert M. Fisher
Jon Fishman
Carlton Fisk
James Fisk 
Irving Fiske
William Charles Fitzgerald
John Fitzpatrick 
Ed Flanagan 
Helen Hartness Flanders
Ralph Flanders
Henry A. Fletcher
George P. Foster
Simon Fraser 
Martin Henry Freeman
Robert Frost
Ida May Fuller
John Fusco
Phineas Gage
Larry Gardner
David Giancola
Cynthia Gibb
Amanda Gilman
Joseph A. Gilmore
Louise Glück
Thyrza Nichols Goodeve
Isaac Goodnow
Mike Gordon
Walter W. Granger
Lewis A. Grant
Duane Graveline
Milford Graves
Peter Gray 
Horace Greeley
Jerry Greenfield
Theodore P. Greene
Wallace M. Greene
Josiah Grout
Luis Guzmán
Paul Hackett 
William Haile
Joy Hakim
Enoch Hale
Hiland Hall
William Laurel Harris
James Hartness
Bill Haugland
William Babcock Hazen
Chris Hedges
William W. Henry
Charles Shattuck Hill
John A. Hill
Ethan A. Hitchcock 
Edward Hoagland
Frederick Holbrook
Tristan Honsinger
Samuel Hopkins 
Charles Snead Houston
Charles Edward Hovey
Jacob M. Howard
Steven Howard 
James F. Howard
William Alanson Howard
Felicity Huffman
Stephen Huneck
Richard Morris Hunt
William Morris Hunt
Stanley Edgar Hyman
James Monroe Ingalls
John Irving
Horatio Nelson Jackson
William Henry Jackson
Lindsey Jacobellis
Jim Jeffords
Milo Parker Jewett
Andrew Johnson 
Carlene King Johnson
Ernie Johnson 
Kenny Johnson
Luke S. Johnson
Lyman E. Johnson
Miranda July
Bob Keeshan
A. Atwater Kent
Henry W. Keyes
Dan Kiley
Christopher Kimball
Heber C. Kimball
Jamaica Kincaid
Carlene King Johnson
Rudyard Kipling
M. Jane Kitchel
Bill Koch 
James Kochalka
The New Yorker
Madeleine M. Kunin
Walt Lanfranconi
Shane Lavalette
John LeClair
Bill Lee 
Harry David Lee
Brady Leisenring
Henry M. Leland
Melissa Leo
Kevin Lepage
Aaron Lewis
JoJo 
Sinclair Lewis
Sam Lloyd
Ki Longfellow
Alfred Lebbeus Loomis
Gustavus Loomis
Horatio G. Loomis
Phillips Lord
Will Lyman
Lucius Lyon
David Mamet
William Marks 
Anna Marsh
John Martin 
Philip Maxwell
Henry T. Mayo
Archer Mayor
Margaret MacArthur
John McCardell
Bill McKibben
James Meacham
William Rutherford Mead
Andrea Mead-Lawrence
Samuel Merrill 
Alexander Kennedy Miller
Frank Miller 
Susan Tolman Mills
Graham Mink
Anais Mitchell
Amanda Mitteer
Samuel Morey
Justin Morgan
Justin Smith Morrill
George Sylvester Morris
Levi P. Morton
Joseph A. Mower
Michael Moynihan 
Dennis Murphy 
Andrew Neel
Harvey Newcomb
David H. Nichols
Clarina I. H. Nichols
John Humphrey Noyes
Rachel Oakes Preston
John O'Brien 
Franklin W. Olin
Buster Olney
Darcy A. Olsen
Ebenezer J. Ormsbee
Elisha Otis
Morgan Page
Grace Paley
Jay Parini
Alden Partridge
Katherine Paterson
Moses Pendleton
Elizabeth Perkins
Joe Perry 
Tom Peters
Charles E. Phelps
John W. Phelps
William Lamb Picknell
Samuel E. Pingree
Russell W. Porter
Grace Potter and the Nocturnals
Ross Powers
Silas G. Pratt
Cyrus Pringle
Annie Proulx
Harvey Putnam
Thomas E. G. Ransom
Edward Rawson 
Edmund Rice 
Henry Mower Rice
Linda Richards
Mark Richards 
Israel B. Richardson
Benjamin S. Roberts
Edward D. Robie
Moses Robinson
Theodore Robinson
