Nathan Adrian
Sandy Alderson
Sherman Alexie
Paul Allen
Rick Anderson 
Earl Anthony
Brad Arnsberg
Colleen Atwood
Earl Averill
John Aylward
Red Badgro
Chris Ballew
Bob Barker
Glenn Beck
Caprice Benedetti
Bruce Bennett
Barbara Berjer
"Steven ""Jesse"" Bernstein"
Kenneth Bianchi
Greg Biffle
Josie Bissett
Angie Bjorklund
Tori Black
Sheila Bleck
Drew Bledsoe
Jeremy Bonderman
Bill Bowerman
Jesse Brand
Walter Houser Brattain
Avery Bradley
Michael Brantley
"Gregory ""Pappy"" Boyington"
Jon Brockman
Arthur C. Brooks
Linda B. Buck
Travis Buck
Ted Bundy
Billy Burke 
Nate Burleson
Raegan Butcher
George Washington Bush
Octavia E. Butler
Sarah Butler
Tom Cable
Dyan Cannon
Jerry Cantrell
Maria Cantwell
Orson Scott Card
Harvey Carignan
Brandi Carlile
Chester Carlson
JoAnne Carner
Raymond Carver
Neko Case
Pat Cashman
James Caviezel
Ron Cey
Drew Chadwick
Carol Channing
Valentina Chepiga
Dale Chihuly
Chin Gee Hee
Louis Chirillo
Jori Chisholm
Erika Christensen
Michael Clarke 
Beverly Cleary
Chuck Close
Kurt Cobain
Erik Coleman
Nancy Coleman
Judy Collins
Hank Conger
Jeff Conine
John Considine 
Chris Cornell
Fred Couples
Randy Couture
Ian Crawford 
Jamal Crawford
Bing Crosby
Merce Cunningham
Colin Curtis
Daniel Bryan
Felecia Danay
Arthur A. Denny
Gail Devers
Garret Dillahunt
Corey Dillon
Westley Allan Dodd
Elinor Donahue
James Doohan
Jon Dorenbos
William O. Douglas
Ryan Doumit
Howard Duff
Bonnie J. Dunbar
Jeff Dye
Turk Edwards
John Ehrlichman
Harris Ellsworth
John Elway
Helga Estby
Justin Ena
Anna Faris
Frances Farmer
Joe Feddersen
Ray Flaherty
Shirley E. Flynn
Tom Foley
Russ Francis
Bryan Fuller
Stacy Marie Fuson
Kenny G
Tess Gallagher
Nathan Gamble
Bill Gates
Ben Gibbard
Andy Gibson 
Cam Gigandet
Vernon Greene
Dahlia Grey
Dave Grohl
David Guterson
Richard Haag
Ivar Haglund
Marcus Hahnemann
Jason Hammel 
Thomas Hampson 
Jane Hamsher
Jason Hanson
Nick Harmer
Melissa Harris-Perry
Spencer Hawes
Roman Heart
Mel Hein
Mark Hendrickson
Jimi Hendrix
Frank Herbert
Josh Heytvelt
Steven Hill
Megan Hilty
Gordon Hirabayashi
Amy Holmes
Joe Hooper 
John Hopcroft
Peter Horton
Ray Horton
Yolanda Hughes-Heying
Fred Hutchinson
Travis Ishikawa
Burl Ives
Henry M. Jackson
Jonathan Jackson 
Joshua Jackson
Noname Jane
Keith Hunter Jesperson
Robert Joffrey
Denis Johnson
Jason Johnson 
Matt Johnson 
Russell Johnson
Chuck Jones
Quincy Jones
Brian Kendrick
Kasey Kahne
Bianca Kajlich
Richard Karn
Chris Kattan
Carol Kaye
John Keister 
Mick Kelleher
Kasey Keller
Donald M. Kendall
Hank Ketcham
Edward Kienholz
Dale Kinkade
Sam Kinison
Justin Kirk
Ed Kirkpatrick
Jon Kitna
Chief Kitsap
John Kitzhaber
Mariana Klaveno
Amanda Knox
Michael Koenen
Max Komar
Richard Kovacevich
Amber Lancaster
Addie Land
Bertha Knight Landes
Mark Lanegan
Steve Largent
Erik Larsen
Rick Larsen
Gary Larson
Brandon Lee
Gypsy Rose Lee
Cassidy Lehrman
Chief Leschi
Jon Lester
Blake Lewis
Rommie Lewis
Ryan Lewis
Brent Lillibridge
Tim Lincecum
Mary Livingstone
Gary Locke
Jake Locker
Kenny Loggins
Macklemore
Kyle MacLachlan
Warren Magnuson
Sanjaya Malakar
Blu Mankuma
Mary Mapes
Charlie Marinkovich
Dave Matthews
Doc Maynard
Kevin McCarthy 
Mary McCarthy 
Mike McCready
Bear McCreary
Darren McGavin
Rose McGowan
Joel McHale
Angie Miller 
John McIntire
Duff McKagan
Bonnie McKee
Patricia McPherson
Gianna Michaels
Roy Miller 
Steve Miller 
Gary Miranda
Beau Mirchoff
Patrick Monahan
Jeffrey Dean Morgan
Jeff Monson
Mark Morris 
Adam Morrison
Robert Motherwell
Patty Murray
Edward R. Murrow
Craig T. Nelson
Billy North
Krist Novoselic
Pat O'Day
Apolo Anton Ohno
John Olerud
Robert Osborne
Lyle Overbay
Janis Paige
2PM
Chuck Palahniuk
Jay Pickett
Mark Pigott
Chris Pratt
Megyn Price
Cory Procter
Ella Raines
Ford Rainey
Blair Rasmussen
John Ratzenberger
Pamela Reed
Dave Reichert
Ann Reinking
Jason Repko
John Requa
Roger Revelle
Don Rich
Davey Richards
Gary Ridgway
