Randy Barnes
Larry Barnett
Clair Bee
Vern Bickford
Terry Bowden
Tommy Bowden
Brian Bowles 
Rich Braham
George Brett 
Lew Burdette
Jesse Burkett
Necro Butcher
Eddie Cameron
Mark Canterbury
Bimbo Coles
Wilbur Cooper
Larry Coyer
Dan D'Antoni
Mike D'Antoni
Jack Dempsey
Jimbo Fisher
Gene Freese
Bob Gain
Frank Gatski
Hal Greer
Cam Henderson
Lou Holtz
Jeff Hostetler
J. R. House
Chuck Howley
Sam Huff
Bob Huggins
Rod Hundley
Gary Jeter
Dwayne Jones 
Jason Kincaid
John Kruk
Doug Legursky
Gino Marchetti
Chris Massey
O.J. Mayo
Bill Mazeroski
Leo Mazzone
Seth McClung
John McKay 
Renee Montgomery
Randy Moss
Dustin Nippert
Jamie Noble
Patrick Patterson 
Joe Pettini
Kevin Pittsnogle
Paul Popovich
Mary Lou Retton
Nick Saban
Ben Schwartzwalder
Heath Slater
Tamar Slay
Stephanie Sparks
Emanuel Steward
Bill Stewart 
Nick Swisher
Rick Tolley
Rod Thorn
Bill Walker 
Curt Warner
Jerry West
Deron Williams
Jason Williams 
Alex Wilson 
Hack Wilson
Steve Yeager
Fielding H. Yost
Don Blankenship
John Chambers 
William Luke
George Preston Marshall
William N. Page
Milan Puskar
Alex Schoenbaum
Harry F. Sinclair
Ellsworth Milton Statler
Rod Thorn
Clarence Wayland Watson
Allen Harvey Woodward
Hasil Adkins
Michael Ammar
Samuel Ball 
Charlie Barnett 
Lina Basquette
Chu Berry
Chris Booker
Byzantine 
Bobby Campo
Jean Carson
Bernie Casey
Ted Cassidy
Joe Cerisano
Michael Cerveris
Larry Combs
Wilma Lee Cooper
Stoney Cooper
John Corbett 
Billy Cox
George Crumb
Joyce DeWitt
Little Jimmy Dickens
Hazel Dickens
Brad Divens
Paul Dooley
Brad Dourif
Joanne Dru
Greg Dulli
Virginia Egnor
Conchata Ferrell
Virginia Fox
Jennifer Garner
Randy Gilkey
Kristen Ruhlin
Larry Groce
Ed Haley
Joshua Harto
Steve Harvey
Katie Lee Joel
Johnnie Johnson 
Daniel Johnston
Lawrence Kasdan
Fuzzy Knight
Jake E. Lee
Kristi Lee
Karma to Burn
Lesli Kay
Don Knotts
Shannon Larkin
Russ McCubbin
Ann Magnuson
Peter Marshall 
Kathy Mattea
Charlie McCoy
Garnet Mimms
Tim O'Brien 
Devon Odessa
Brad Paisley
Wilber Pan
Sam Pancake
Squire Parsons
Johnny Paycheck
Rachel Proctor
Walter E. Rollins
Soupy Sales
"Frank ""Poncho"" Sampedro"
Chris Sarandon
Scenes from a Movie
David Selby
Robert R. Shafer
Bill Slater 
"Fred ""Sonic"" Smith"
Connie Smith
Michael W. Smith
Red Sovine
Morgan Spurlock
Blaze Starr
Aaron Staton
Sam Trammell
Teddy Weatherford
Patty Weaver
Donald Ray White
Jesco White
Steve Whiteman
Garland Wilson
Melvin Wine
Bill Withers
Hawthorne Heights
Wrathchild America
Bobby Wright
Frankie Yankovic
Josh Stewart
Patrick Gass
Morgan Morgan
Lewis Wetzel
George Esper
John S. Knight
Hoda Kotb
Herbert Morrison 
Asra Nomani
Mike Patrick
Michael Tomasky
Carter G. Woodson
Allen Appel
John Peale Bishop
Pearl S. Buck
Bob Carroll 
Stephen Coonts
Henry Louis Gates
Denise Giardina
Linda Goodman
Davis Grubb
Homer Hickam
John Knowles
Brooke McEldowney
Ehrman Syme Nadal
Breece D'J Pancake
Louise McNeil Pease 
Roger Price 
Jedediah Purdy
Mary Lee Settle
Beau Smith
Jean Edward Smith
David Hunter Strother
Timothy Truman
Jeannette Walls
Booker T. Washington
John James Abert
Earl E. Anderson
John Ashby 
Woodrow Wilson Barr
Frank Buckles
French Ensor Chadwick
Lynndie England
Stonewall Jackson
Albert G. Jenkins
Jonah Edward Kelley
Edwin Gray Lee
Carwood Lipton
John P. Lucas
Jessica Lynch
Basil L. Plumley
William E. Shuck
Hershel W. Williams
John Yarnall
Chuck Yeager
Ruby Bradley
Newton D. Baker
William Wallace Barron
John J. Beckley
Ephraim Bee
Charles Bent
Arthur I. Boreman
Sylvia Mathews Burwell
Harry F. Byrd
Robert Byrd
Gaston Caperton
Shelley Moore Capito
Thomas R. Carper
John J. Cornwell
Henry G. Davis
John W. Davis
Stephen Benton Elkins
Walter Lowrie Fisher
Mark Funkhouser
William E. Glasscock
Nathan Goff
Howard Mason Gore
Henry D. Hatfield
Ken Hechler
John J. Jacob 
Elizabeth Kee
John E. Kenna
Chief Logan
William A. MacCorkle
Joe Manchin
William C. Marland
Arch A. Moore
Dwight Morrow
Matthew M. Neely
Bob Ney
Okey L. Patteson
Francis Harrison Pierpont
Nick Rahall
Jennings Randolph
Absalom Willis Robertson
Jay Rockefeller
Rick Santorum
Hulett C. Smith
William E. Stevenson
Cyrus Vance
Charles Washington
Erik Wells
Bob Wise
Sylvia Mathews Burwell
Alexander Campbell 
B. R. Lakin
Matthew W. Clair
T. D. Jakes
Eugene Aserinsky
Maurice Brooks
Homer Hickam
Mahlon Loomis
Jon McBride
Adrian Melott
George Armitage Miller
John Forbes Nash
James Rumsey
Charles Marstiller Vest
James J. Andrews
Bill Blizzard
Julia Bonds
Belle Boyd
Larry Gibson
Nancy Hanks
Devil Anse Hatfield
Sid Hatfield
Jacob and Samuel Hawken
Glen and Bessie Hyde
John Henry 
Julia Neale Jackson
Anna Jarvis
Mary Harris Jones
Randal McCloy
Patsy Ramsey
Walter Reuther
Cecil Roberts 
Harry Randall Truman
Jack Whittaker 
Nick Null 
Category:People from West Virginia
Category:West Virginia-related lists
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
