Kevin J. Anderson
Rasmus B. Anderson
Walter Annenberg
Antler 
Ruth Ball
Lynda Barry
Gary Beecham
George Bergstrom
Norbert Blei
Carrie Jacobs Bond
Esther Bubley
Nancy Ekholm Burkert
Ole Amundsen Buslett
Kathryn Casey
Connie Clausen
Chester Commodore
Jeremiah Curtin
Tyler Dennett
August Derleth
Gene DeWeese
Donn F. Draeger
Bill Dwyre
Alter Esselin
Edna Ferber
Jack Finney
Daniel R. Fitzpatrick
Lewis R. Freeman
Zona Gale
Hamlin Garland
Elmer Grey
E. Gary Gygax
Jane Hamilton
Stephen F. Hayes
Kevin Henkes
Eastman Johnson
Russell Klika
Jim Knipfel
Ron Kovic
David Lenz
Gerda Lerner
Cordwainer Smith
Per Lysne
Karl E. Meyer
Jacquelyn Mitchard
John Nichols 
Lorine Niedecker
Lucius W. Nieman
Jessica Nelson North
Sterling North
Georgia O'Keeffe
George Wilbur Peck
George Pollard 
Richard Quinney
Ellen Raskin
Vinnie Ream
John Ridley
David Robbins 
Patrick Rothfuss
Joe Schoenmann
Ruth Shalit
Clifford D. Simak
Peter Straub
John Toland 
Arthur Thrall
Neal Ulevich
Dave Umhoefer
Ignatiy Vishnevetsky
Viola S. Wendt
Ella Wheeler Wilcox
John Wilde
Laura Ingalls Wilder
Thornton Wilder
Frank Lloyd Wright
George Addes
Edward P. Allis
Carol Bartz
Ernest J. Briskey
Jerome Case
Leo Crowley
John Cudahy
Michael Cudahy 
Alexander M. Cutler
Arthur Davidson 
Edward L. Doheny
Ole Evinrude
Bob Galvin
Chris Gardner
King C. Gillette
Donald Goerke
William S. Harley
Randolph Edgar Haugan
Ken Hendricks
Jay L. Johnson
Samuel Curtis Johnson
Phil Katz
Carl Kiekhaefer
Herbert Kohler
Oscar Mayer
John Menard
George Safford Parker
Herbert A. Simon
James Trane
Reuben Trane
Elmer Winter
Dean Witter
Walter Wriston
Valentin Blatz
Harry G. John
Frederick Miller
Frederick Pabst
Joseph Schlitz
Thomas P.M. Barnett
Theodore Brameld
Arthur Louis Breslich
Ernest J. Briskey
Carlos Castillo-Chavez
Joanne V. Creighton
Tyler Dennett
Katharine Elizabeth Dopp
Lars Paul Esbjörn
Ernst Guillemin
Harlan Hanson
Frederick Hemke
Bruno E. Jacob
Peter Laurentius Larsen
John Leonora
A. Carl Leopold
A. Starker Leopold
Luna Leopold
Charles McCarthy 
Thorbjorn N. Mohn
Christian Keyser Preus
Margarethe Schurz
Philip Stieg
Rose Thering
Norman Wengert
James Wright 
Nicholas S. Zeppos
Jim Abrahams
Marc Alaimo
Don Ameche
William Bast
Abner Biberman
Mark Borchardt
Joyce Carlson
Jack Carson
Ellen Corby
Anthony Crivello
Willem Dafoe
Brian Donlevy
Chris Farley
John P. Farley
Kevin Farley
Don Fellows
Lynn Fontanne
Gloria Foster
Zona Gale
Aimee Graham
Heather Graham 
Uta Hagen
Theodore Hardeen
Howard Hawks
Harry Houdini
Tom Hulce
Jeana Keough
Imran Khan 
David Koepp
Carole Landis
Tom Laughlin
Joseph Losey
Alfred Lunt
Fred MacMurray
Michael Maize
Fredric March
Rob Marshall
Kerwin Mathews
John Matuszak
Hattie McDaniel
Niels Mueller
Cyrus Nowrasteh
Pat O'Brien 
Robert Emmett O'Connor
Nancy Olson
Manilla Powers
Nicholas Ray
John Ridley
Richard Riehle
Michael Ritchie 
Gena Rowlands
Mark Ruffalo
Richard Schickel
Greg Dean Schmitz
Leigh Scott
Paul Shenar
Tony Shalhoub
Oliver Smith 
Zack Snyder
Ford Sterling
Eric Szmanda
George Tillman
Spencer Tracy
Judy Tyler
Bob Uecker
James Valcq
Marc Webb
Peter Weller
Orson Welles
Shannon Whirry
Gene Wilder
David Zucker 
Jerry Zucker 
Terry Zwigoff
Andrea Anders
Bonnie Bartlett
Kristin Bauer van Straten
Lamont Bentley
Brad Beyer
Peter Bonerz
Gary Burghoff
Annie Burgstede
Ellen Corby
Rich Dahm
James Daly 
Tyne Daly
Nancy Dickerson
Sean Duffy 
Greg Eagles
John Fiedler
Paul Gigot
Andrea Hall
Deidre Hall
Joel Hodgson
Isabella Hofmann
Gregory Itzin
Jane Kaczmarek
Laura Kaeppeler
Kathy Kinney
Trenni Kusnierek
Allen Ludden
Terry Meeuwsen
Carol Merrill
Chris Mulkey
Chris Noth
Samuel Page
Vic Perrin
Michael Phillips 
Amy Pietz
Charlotte Rae
Brad Rowe 
Tony Shalhoub
Kurtwood Smith
Tom Snyder
The Real World: Austin
Eric Szmanda
Jessica Szohr
Daniel J. Travanti
Steve True
Greta Van Susteren
J.D. Walsh 
Tom Welling
Bradley Whitford
Tom Wopat
Chip Zien
Frank Caliendo
Randy Chestnut
Chris Farley
Jackie Kashian
Jackie Mason
Nick Mortensen
John McGivern
Naima Adedapo
Carl Allen 
Durrell Babbs
Eric Benét
Bunny Berigan
Erin Boheme
Holly Brook
Felice Bryant
John Altenburgh
Victor DeLorenzo
Dave Dudley
Howie Epstein
Betty Everett
Gordon Gano
Danny Gokey
Greg Graffin
Jerry Harrison
Woody Herman
Bobby Hatfield
Hildegarde
Guy Hoffman
Andy Hurley
Al Jarreau
Pee Wee King
Liberace
Jeff Loomis
Rico Love
Steve Miller 
Les Paul
Jim Pekol
